host nfh-001 job 16539317 worker 3/4 budget 9000s rounds 3 acc fine
NVIDIA H200, 143771 MiB
[gen] worker 3/4: 19 plan items, backend=torch64 acc=fine tol_v=1e-08 out=data/multibody_v2
[gen] lattice/jitter0.05_phi0.05_P64_fine/shard_0000.npz: n=64 P=64 0.84 s/config iters~9 symm<=3.4e-07 [27.4 min]
[gen] lattice/jitter0.2_phi0.05_P64_fine/shard_0000.npz: n=64 P=64 1.01 s/config iters~11 symm<=5.6e-07 [28.5 min]
[gen] lattice/jitter0.1_phi0.1_P64_fine/shard_0000.npz: n=64 P=64 1.08 s/config iters~12 symm<=9.0e-07 [29.6 min]
[gen] lattice/jitter0.05_phi0.15_P64_fine/shard_0000.npz: n=64 P=64 1.17 s/config iters~13 symm<=1.8e-06 [30.9 min]
[gen] lattice/jitter0.2_phi0.15_P64_fine/shard_0000.npz: n=64 P=64 2.49 s/config iters~28 symm<=2.8e-04 [33.5 min]
[gen] uniform/phi0.025_P64_fine/shard_0001.npz: n=64 P=64 2.00 s/config iters~22 symm<=1.1e-04 [35.7 min]
[gen] uniform/phi0.05_P64_fine/shard_0001.npz: n=64 P=64 2.22 s/config iters~25 symm<=1.2e-04 [38.0 min]
[gen] uniform/phi0.075_P64_fine/shard_0001.npz: n=64 P=64 2.33 s/config iters~26 symm<=1.3e-04 [40.5 min]
[gen] uniform/phi0.1_P64_fine/shard_0001.npz: n=64 P=64 2.40 s/config iters~27 symm<=1.6e-04 [43.1 min]
[gen] uniform/phi0.15_P64_fine/shard_0001.npz: n=64 P=64 2.53 s/config iters~29 symm<=1.8e-04 [45.8 min]
[gen] uniform/phi0.2_P64_fine/shard_0001.npz: n=64 P=64 2.67 s/config iters~31 symm<=1.9e-04 [48.7 min]
[gen] uniform/phi0.25_P64_fine/shard_0001.npz: n=30 P=64 2.88 s/config iters~33 symm<=2.8e-04 [50.4 min]
[gen] uniform/phi0.025_P64_fine/shard_0002.npz: n=64 P=64 1.98 s/config iters~22 symm<=1.1e-04 [52.5 min]
[gen] uniform/phi0.05_P64_fine/shard_0002.npz: n=64 P=64 2.26 s/config iters~26 symm<=1.5e-04 [54.9 min]
[gen] uniform/phi0.075_P64_fine/shard_0002.npz: n=64 P=64 2.34 s/config iters~27 symm<=1.3e-04 [57.4 min]
[gen] uniform/phi0.1_P64_fine/shard_0002.npz: n=64 P=64 2.38 s/config iters~27 symm<=1.5e-04 [60.0 min]
[gen] uniform/phi0.15_P64_fine/shard_0002.npz: n=64 P=64 2.50 s/config iters~29 symm<=1.8e-04 [62.7 min]
[gen] uniform/phi0.2_P64_fine/shard_0002.npz: n=64 P=64 2.70 s/config iters~31 symm<=2.2e-04 [65.6 min]
[gen] uniform/phi0.25_P64_fine/shard_0002.npz: n=24 P=64 2.85 s/config iters~33 symm<=2.6e-04 [67.1 min]
[gen] grown/delta0.05_P24_fine/shard_0001.npz: n=384 P=24 0.48 s/config iters~46 symm<=1.8e-03 [70.2 min]
[gen] grown/delta0.1_P16_fine/shard_0001.npz: n=512 P=16 0.17 s/config iters~36 symm<=7.2e-04 [71.6 min]
[gen] grown/delta0.2_P12_fine/shard_0001.npz: n=768 P=12 0.08 s/config iters~26 symm<=1.7e-04 [72.6 min]
[gen] grown/delta0.3_P8_fine/shard_0001.npz: n=1024 P=8 0.03 s/config iters~21 symm<=5.0e-05 [73.2 min]
[gen] grown/delta0.3_P32_fine/shard_0001.npz: n=256 P=32 0.43 s/config iters~22 symm<=4.1e-05 [75.0 min]
[gen] grown/delta0.5_P24_fine/shard_0001.npz: n=384 P=24 0.18 s/config iters~17 symm<=8.5e-06 [76.2 min]
[gen] grown/delta1_P16_fine/shard_0001.npz: n=512 P=16 0.06 s/config iters~12 symm<=1.1e-06 [76.7 min]
[gen] done: 40 shards in 76.7 min
worker 3 finished Sun Aug 30 05:46:53 AM EDT 2026
