host nfh-001 job 16539317 worker 3/4 budget 9000s rounds 3 acc fine
NVIDIA H200, 143771 MiB
[gen] worker 3/4: 19 plan items, backend=torch64 acc=fine tol_v=1e-08 out=data/multibody_v2
[gen] uniform/phi0.025_P64_fine/shard_0000.npz: n=64 P=64 1.94 s/config iters~22 symm<=1.3e-04 [2.1 min]
[gen] uniform/phi0.05_P64_fine/shard_0000.npz: n=64 P=64 2.15 s/config iters~24 symm<=1.4e-04 [4.4 min]
[gen] uniform/phi0.075_P64_fine/shard_0000.npz: n=64 P=64 2.28 s/config iters~26 symm<=1.4e-04 [6.8 min]
[gen] uniform/phi0.1_P64_fine/shard_0000.npz: n=64 P=64 2.42 s/config iters~28 symm<=1.4e-04 [9.4 min]
[gen] uniform/phi0.15_P64_fine/shard_0000.npz: n=64 P=64 2.54 s/config iters~29 symm<=1.8e-04 [12.1 min]
[gen] uniform/phi0.2_P64_fine/shard_0000.npz: n=64 P=64 2.72 s/config iters~31 symm<=2.3e-04 [15.0 min]
[gen] uniform/phi0.25_P64_fine/shard_0000.npz: n=31 P=64 2.82 s/config iters~33 symm<=2.6e-04 [16.8 min]
[gen] grown/delta0.05_P24_fine/shard_0000.npz: n=384 P=24 0.49 s/config iters~47 symm<=1.8e-03 [20.0 min]
[gen] grown/delta0.1_P16_fine/shard_0000.npz: n=512 P=16 0.17 s/config iters~35 symm<=7.8e-04 [21.4 min]
[gen] grown/delta0.2_P12_fine/shard_0000.npz: n=768 P=12 0.08 s/config iters~26 symm<=1.6e-04 [22.4 min]
[gen] grown/delta0.3_P8_fine/shard_0000.npz: n=1024 P=8 0.03 s/config iters~20 symm<=5.1e-05 [23.0 min]
[gen] grown/delta0.3_P32_fine/shard_0000.npz: n=256 P=32 0.43 s/config iters~22 symm<=4.1e-05 [24.8 min]
[gen] grown/delta0.5_P24_fine/shard_0000.npz: n=384 P=24 0.18 s/config iters~17 symm<=8.4e-06 [26.0 min]
[gen] grown/delta1_P16_fine/shard_0000.npz: n=512 P=16 0.06 s/config iters~12 symm<=1.2e-06 [26.5 min]
