host nfh-001 job 16539359 worker 2/4 budget 9000s rounds 3 acc fine
NVIDIA H200, 143771 MiB
[gen] worker 2/4: 19 plan items, backend=torch64 acc=fine tol_v=1e-08 out=data/multibody_v2
[gen] uniform/phi0.025_P48_fine/shard_0000.npz: n=128 P=48 1.07 s/config iters~22 symm<=1.1e-04 [2.3 min]
[gen] uniform/phi0.05_P48_fine/shard_0000.npz: n=128 P=48 1.18 s/config iters~25 symm<=1.3e-04 [4.8 min]
[gen] uniform/phi0.075_P48_fine/shard_0000.npz: n=128 P=48 1.23 s/config iters~26 symm<=1.6e-04 [7.5 min]
[gen] uniform/phi0.1_P48_fine/shard_0000.npz: n=128 P=48 1.30 s/config iters~28 symm<=1.5e-04 [10.3 min]
[gen] uniform/phi0.15_P48_fine/shard_0000.npz: n=128 P=48 1.36 s/config iters~29 symm<=1.7e-04 [13.2 min]
[gen] uniform/phi0.2_P48_fine/shard_0000.npz: n=128 P=48 1.44 s/config iters~31 symm<=2.4e-04 [16.3 min]
[gen] uniform/phi0.25_P48_fine/shard_0000.npz: n=40 P=48 1.52 s/config iters~33 symm<=2.9e-04 [17.9 min]
[gen] grown/delta0.05_P16_fine/shard_0000.npz: n=512 P=16 0.21 s/config iters~45 symm<=1.9e-03 [19.7 min]
[gen] grown/delta0.1_P12_fine/shard_0000.npz: n=768 P=12 0.10 s/config iters~34 symm<=8.1e-04 [21.0 min]
[gen] grown/delta0.2_P8_fine/shard_0000.npz: n=1024 P=8 0.04 s/config iters~25 symm<=1.7e-04 [21.6 min]
[gen] grown/delta0.2_P32_fine/shard_0000.npz: n=256 P=32 0.52 s/config iters~27 symm<=1.4e-04 [23.8 min]
[gen] grown/delta0.3_P24_fine/shard_0000.npz: n=384 P=24 0.23 s/config iters~21 symm<=4.3e-05 [25.4 min]
[gen] grown/delta0.5_P16_fine/shard_0000.npz: n=512 P=16 0.08 s/config iters~17 symm<=8.8e-06 [26.1 min]
[gen] grown/delta1_P12_fine/shard_0000.npz: n=768 P=12 0.04 s/config iters~12 symm<=1.2e-06 [26.5 min]
[gen] lattice/jitter0.05_phi0.05_P32_fine/shard_0000.npz: n=256 P=32 0.18 s/config iters~9 symm<=3.5e-07 [27.3 min]
[gen] lattice/jitter0.2_phi0.05_P32_fine/shard_0000.npz: n=256 P=32 0.22 s/config iters~11 symm<=7.1e-07 [28.3 min]
[gen] lattice/jitter0.1_phi0.1_P32_fine/shard_0000.npz: n=256 P=32 0.24 s/config iters~12 symm<=9.8e-07 [29.3 min]
[gen] lattice/jitter0.05_phi0.15_P32_fine/shard_0000.npz: n=256 P=32 0.25 s/config iters~13 symm<=1.8e-06 [30.4 min]
[gen] lattice/jitter0.2_phi0.15_P32_fine/shard_0000.npz: n=256 P=32 0.55 s/config iters~29 symm<=3.8e-04 [32.7 min]
[gen] uniform/phi0.025_P48_fine/shard_0001.npz: n=128 P=48 1.07 s/config iters~22 symm<=1.1e-04 [35.0 min]
[gen] uniform/phi0.05_P48_fine/shard_0001.npz: n=128 P=48 1.20 s/config iters~25 symm<=1.6e-04 [37.5 min]
[gen] uniform/phi0.075_P48_fine/shard_0001.npz: n=128 P=48 1.25 s/config iters~27 symm<=1.7e-04 [40.2 min]
[gen] uniform/phi0.1_P48_fine/shard_0001.npz: n=128 P=48 1.30 s/config iters~28 symm<=1.8e-04 [43.0 min]
