host nfh-001 job 16539359 worker 2/4 budget 9000s rounds 3 acc fine
NVIDIA H200, 143771 MiB
[gen] worker 2/4: 19 plan items, backend=torch64 acc=fine tol_v=1e-08 out=data/multibody_v2
[gen] uniform/phi0.15_P48_fine/shard_0001.npz: n=128 P=48 1.36 s/config iters~29 symm<=2.2e-04 [45.9 min]
[gen] uniform/phi0.2_P48_fine/shard_0001.npz: n=128 P=48 1.44 s/config iters~31 symm<=2.5e-04 [49.0 min]
[gen] uniform/phi0.25_P48_fine/shard_0001.npz: n=37 P=48 1.52 s/config iters~33 symm<=2.8e-04 [50.6 min]
[gen] uniform/phi0.025_P48_fine/shard_0002.npz: n=128 P=48 1.12 s/config iters~24 symm<=1.8e-04 [53.0 min]
[gen] uniform/phi0.05_P48_fine/shard_0002.npz: n=128 P=48 1.20 s/config iters~25 symm<=1.4e-04 [55.5 min]
[gen] uniform/phi0.075_P48_fine/shard_0002.npz: n=128 P=48 1.25 s/config iters~27 symm<=1.6e-04 [58.2 min]
[gen] uniform/phi0.1_P48_fine/shard_0002.npz: n=128 P=48 1.29 s/config iters~28 symm<=1.6e-04 [61.0 min]
[gen] uniform/phi0.15_P48_fine/shard_0002.npz: n=128 P=48 1.37 s/config iters~29 symm<=1.9e-04 [63.9 min]
[gen] uniform/phi0.2_P48_fine/shard_0002.npz: n=128 P=48 1.43 s/config iters~31 symm<=2.4e-04 [67.0 min]
[gen] uniform/phi0.25_P48_fine/shard_0002.npz: n=33 P=48 1.52 s/config iters~33 symm<=2.7e-04 [68.4 min]
[gen] grown/delta0.05_P16_fine/shard_0001.npz: n=512 P=16 0.22 s/config iters~46 symm<=1.9e-03 [70.3 min]
[gen] grown/delta0.1_P12_fine/shard_0001.npz: n=768 P=12 0.10 s/config iters~35 symm<=7.8e-04 [71.6 min]
[gen] grown/delta0.2_P8_fine/shard_0001.npz: n=1024 P=8 0.04 s/config iters~25 symm<=1.8e-04 [72.3 min]
[gen] grown/delta0.2_P32_fine/shard_0001.npz: n=256 P=32 0.52 s/config iters~27 symm<=1.4e-04 [74.5 min]
[gen] grown/delta0.3_P24_fine/shard_0001.npz: n=384 P=24 0.24 s/config iters~22 symm<=4.3e-05 [76.0 min]
[gen] grown/delta0.5_P16_fine/shard_0001.npz: n=512 P=16 0.08 s/config iters~17 symm<=8.9e-06 [76.7 min]
[gen] grown/delta1_P12_fine/shard_0001.npz: n=768 P=12 0.04 s/config iters~12 symm<=1.2e-06 [77.2 min]
[gen] done: 40 shards in 77.2 min
worker 2 finished Sun Aug 30 05:44:39 AM EDT 2026
