family,param,P,cfg,n_near,n_far,e_2b,e_near,e_diag,e_far,lin_2b,lin_near,lin_diag,ang_2b,ang_near,ang_diag
uniform,0.05,64,43889,270,1746,3.4349,1.7154,1.5797,0.0019217,3.4693,1.7586,1.6156,3.1799,1.3711,1.2972
uniform,0.05,64,43926,266,1750,4.3558,2.1672,2.0238,0.002455,4.7489,2.4337,2.3047,3.1042,1.2239,0.96109
uniform,0.075,16,44154,80,40,7.064,1.8442,1.2968,0.0012291,7.8344,1.8758,1.4902,5.0588,1.7752,0.73487
uniform,0.075,16,43975,81,39,6.4927,1.7692,1.4472,0.0036152,6.8876,1.9764,1.6302,5.5012,1.1761,0.90936
uniform,0.075,16,44670,64,56,4.6006,1.1576,1.0168,0.00021851,5.183,1.3471,1.1793,2.7363,0.44822,0.42139
uniform,0.075,16,44614,76,44,6.0669,2.1936,2.0318,0.0048179,6.8513,2.6346,2.457,4.3897,1.0617,0.90825
uniform,0.075,16,44752,57,63,4.026,1.4312,1.2465,0.0058142,4.0872,1.5186,1.3401,3.79,1.0444,0.80945
uniform,0.075,16,44277,77,43,3.2863,0.97276,0.92567,0.00060928,3.206,0.96059,0.94488,3.913,1.0723,0.73888
uniform,0.075,32,45745,183,313,6.1168,2.3178,2.1017,0.0022083,6.1386,2.3754,2.2089,5.9951,1.9705,1.3674
uniform,0.075,32,46086,176,320,5.1122,1.7694,1.5738,0.0023688,5.2591,1.8725,1.664,4.3471,1.1602,1.0439
uniform,0.075,32,45946,170,326,4.5436,1.6241,1.5625,0.0011202,4.742,1.6959,1.6399,3.4321,1.2211,1.1177
uniform,0.075,32,45848,177,319,6.4512,2.0437,1.981,0.0018329,7.0013,2.1969,2.1895,4.4625,1.5071,1.1722
uniform,0.075,32,45553,189,307,6.8739,2.7825,2.6751,0.0021408,7.2951,3.0319,2.9144,5.1211,1.6228,1.5633
uniform,0.075,32,46118,195,301,7.7522,2.7556,2.601,0.0042784,9.1159,3.3122,3.1322,4.3168,1.2265,1.1294
uniform,0.075,48,46504,252,876,5.7758,2.4782,2.3549,0.0027982,6.3909,2.8121,2.6973,3.675,1.2056,0.97729
uniform,0.075,48,46584,303,825,6.5651,2.9886,2.8294,0.0025576,7.0494,3.4113,3.232,5.0947,1.3776,1.2881
uniform,0.075,48,46655,290,838,5.1355,1.9679,1.8768,0.001648,5.2805,2.0433,1.9588,4.1962,1.4556,1.3023
uniform,0.075,48,46323,275,853,5.8539,3.4055,3.3841,0.0027267,6.3033,3.7686,3.7494,3.8679,1.5462,1.4984
uniform,0.075,48,46624,277,851,6.1214,2.5007,2.2933,0.0026191,6.2297,2.6156,2.4093,5.4862,1.736,1.5007
uniform,0.075,48,46465,278,850,5.2751,2.1144,2.1361,0.0031931,5.4327,2.2052,2.2376,4.2889,1.5088,1.4427
uniform,0.075,64,46716,396,1620,6.8444,3.0449,3.1085,0.0053071,8.5634,3.8618,3.9548,3.2544,1.2446,1.2169
uniform,0.075,64,46677,417,1599,6.8659,2.8246,2.7194,0.0049364,7.2202,3.0839,2.9733,5.3393,1.5032,1.4138
uniform,0.075,64,46718,413,1603,5.7443,3.1211,3.1335,0.0019573,5.8158,3.2888,3.309,5.3094,1.8699,1.8029
uniform,0.075,64,46665,369,1647,5.634,2.9367,2.956,0.0056439,5.9631,3.2117,3.2362,4.3312,1.6946,1.6837
uniform,0.075,64,46752,358,1658,6.114,2.8097,2.5816,0.0014686,6.4895,3.0305,2.786,4.2413,1.6167,1.4732
uniform,0.075,64,46725,407,1609,8.6305,3.4777,3.2348,0.0046122,9.3777,3.9179,3.6516,6.1541,1.7986,1.6289
uniform,0.1,16,50965,89,31,12.912,3.5866,3.1424,0.0023611,16.251,4.6751,4.0861,6.8426,1.3387,1.2154
uniform,0.1,16,50401,90,30,5.3213,1.53,1.3415,0.0056657,5.4666,1.6313,1.4413,4.7657,1.0938,0.89805
uniform,0.1,16,50367,82,38,6.3039,1.6249,1.532,0.007427,7.6272,2.1515,2.0454,4.3475,0.62619,0.52031
uniform,0.1,16,51104,88,32,6.8529,1.3517,1.1557,0.0032193,7.0097,1.419,1.2144,6.2234,1.0588,0.89923
uniform,0.1,16,51091,91,29,5.2031,1.4613,1.2487,0.0062394,4.8657,1.354,1.253,7.3222,2.1203,1.2147
uniform,0.1,16,49812,84,36,4.066,1.289,1.1392,0.0026774,4.0782,1.3674,1.1962,4.0187,0.93006,0.8879
uniform,0.1,32,51841,236,260,7.5705,1.7493,1.6746,0.0035281,7.5435,1.7459,1.686,7.856,1.7852,1.5467
uniform,0.1,32,51539,215,281,8.2561,2.1779,2.0262,0.0013429,8.9059,2.4131,2.2472,6.0055,1.2792,1.178
uniform,0.1,32,51284,250,246,8.3671,2.1853,2.0757,0.0025763,8.383,2.2519,2.1532,8.259,1.6656,1.447
uniform,0.1,32,51278,244,252,9.5015,3.5072,3.3654,0.0049854,9.9626,3.8156,3.6737,7.3745,1.8082,1.6276
uniform,0.1,32,51629,222,274,6.3767,1.9322,1.8009,0.0048472,6.4385,2.0286,1.9177,6.0707,1.3763,1.0739
uniform,0.1,32,51406,236,260,10.382,2.7414,2.5717,0.0033922,11.266,3.0166,2.8349,7.2275,1.7073,1.5758
uniform,0.1,48,52034,351,777,8.717,3.4687,3.5416,0.0014124,9.8762,4.091,4.2075,5.6343,1.5416,1.3967
uniform,0.1,48,52168,318,810,6.2942,2.5314,2.4611,0.0030794,6.4527,2.6049,2.5634,5.3127,2.0693,1.7776
uniform,0.1,48,52070,383,745,8.5648,3.75,3.6932,0.0031663,8.9845,4.0983,4.0714,6.9343,2.1641,1.8878
uniform,0.1,48,52124,372,756,9.5505,3.325,3.0841,0.004059,9.8001,3.5272,3.2849,8.1064,1.9346,1.6619
uniform,0.1,48,52230,348,780,10.783,4.1631,3.8261,0.0024527,12.006,4.705,4.3775,6.4989,2.1382,1.6214
uniform,0.1,48,52241,364,764,7.6854,2.9551,2.9224,0.0014917,7.798,3.1645,3.1614,7.1898,1.8202,1.5457
uniform,0.1,64,52562,483,1533,9.8128,4.6285,4.5154,0.0052959,10.848,5.2465,5.1502,5.8136,1.8964,1.5703
uniform,0.1,64,52482,524,1492,5.8949,2.6861,2.5417,0.0021086,5.8881,2.7757,2.6269,5.9472,1.8541,1.75
uniform,0.1,64,52495,545,1471,13.648,4.6393,4.3374,0.0051198,16.203,5.6147,5.294,7.2486,1.9947,1.6286
uniform,0.1,64,52428,508,1508,7.8817,4.1461,4.1794,0.0011618,8.4247,4.5727,4.6246,5.4164,1.8485,1.7189
uniform,0.1,64,52552,493,1523,11.275,4.1288,3.9319,0.0064783,11.809,4.3899,4.2063,8.5481,2.7,2.3801
uniform,0.1,64,52433,472,1544,7.1548,2.9628,2.8015,0.0054861,7.6404,3.2932,3.1113,5.5507,1.7069,1.628
uniform,0.15,16,47505,106,14,7.678,1.5693,0.90797,0.0036626,7.4774,1.5288,0.95844,8.4364,1.7226,0.6677
uniform,0.15,16,47616,110,10,13.554,1.9912,1.6416,0.0043137,15.27,2.2,1.9195,9.0456,1.4701,0.81
uniform,0.15,16,46989,105,15,7.2335,1.76,1.5484,0.0053997,7.5483,1.7989,1.6931,5.9065,1.6059,0.80033
uniform,0.15,16,47371,111,9,8.6327,1.3157,0.7596,0.0080706,8.7525,1.1512,0.74757,7.8557,2.0561,0.82977
uniform,0.15,16,47249,111,9,10.718,1.6547,1.2398,0.0079165,11.992,1.6605,1.385,6.551,1.64,0.76829
uniform,0.15,16,47580,105,15,9.5675,1.9866,1.4849,0.0079622,9.4635,2.0251,1.5397,10.063,1.785,1.1793
uniform,0.15,32,48967,288,208,8.4613,3.0116,2.7622,0.0024975,8.7873,3.2456,3.0421,7.1292,1.9136,1.2764
uniform,0.15,32,48540,275,221,8.1566,2.0064,1.893,0.0057184,8.4473,2.1294,2.0349,6.5979,1.2659,0.96252
uniform,0.15,32,48760,292,204,16.987,4.2098,3.3603,0.0078963,20.037,4.9437,4.0565,11.115,2.8117,1.9353
uniform,0.15,32,48646,303,193,10.349,3.0303,2.6206,0.0042392,10.47,3.1927,2.8051,9.6984,1.9859,1.2956
uniform,0.15,32,48958,256,240,10.07,3.3697,2.9356,0.005218,11.08,3.7575,3.3754,7.4494,2.3264,1.6281
uniform,0.15,32,49074,285,211,10.466,3.0585,2.855,0.0038498,10.514,3.193,3.0109,10.2,2.188,1.7836
uniform,0.15,48,49354,472,656,12.699,4.1739,4.0222,0.0054669,13.562,4.6385,4.498,9.5862,2.2118,1.9423
uniform,0.15,48,49402,472,656,13.479,3.9159,3.7791,0.0045508,14.197,4.3083,4.2153,10.843,2.2201,1.7432
uniform,0.15,48,49434,463,665,10.743,3.905,3.5423,0.0033659,11.072,4.1829,3.8316,9.0995,2.2424,1.6863
uniform,0.15,48,49157,494,634,12.611,4.3125,3.8021,0.0043282,13.052,4.6946,4.1708,10.76,2.3315,1.7922
uniform,0.15,48,49159,509,619,15.551,4.2811,3.954,0.0058337,16.239,4.6323,4.3406,12.661,2.5815,1.92
uniform,0.15,48,49343,492,636,14.34,5.0576,4.846,0.004156,16.448,6.0388,5.8214,8.9988,2.1605,1.8705
uniform,0.15,64,49639,695,1321,11.998,4.0037,3.7109,0.0060148,11.964,4.1055,3.8256,12.293,2.9584,2.4792
uniform,0.15,64,49557,678,1338,11.871,3.7661,3.5618,0.0040158,12.312,4.0007,3.8178,9.3021,2.2114,1.7464
uniform,0.15,64,49563,710,1306,9.0696,3.4673,3.3484,0.0031436,8.807,3.4855,3.4007,11.998,3.2181,2.5633
uniform,0.15,64,49654,689,1327,11.426,4.8387,4.4595,0.0029164,11.963,5.2325,4.8501,8.6691,2.4333,1.9627
uniform,0.15,64,49651,685,1331,13.141,4.6276,4.3626,0.004048,13.914,5.0289,4.7992,9.9795,2.8037,2.2448
uniform,0.15,64,49679,677,1339,10.538,4.166,3.9451,0.0032699,10.349,4.2503,4.0421,12.309,3.1744,2.7606
uniform,0.2,16,54679,114,6,11.259,1.4048,0.92097,0.0031573,10.825,1.3183,0.9154,13.554,1.8364,0.95336
uniform,0.2,16,54293,112,8,9.5572,1.5127,0.95963,0.0021058,9.5656,1.3111,0.88065,9.5222,2.1571,1.2347
uniform,0.2,16,54573,116,4,14.531,1.9512,0.5911,0.0084372,14.198,1.7522,0.55381,16.951,3.1114,0.83043
uniform,0.2,16,54394,117,3,15.087,2.2404,0.5755,0.0074177,15.116,1.9457,0.62405,14.958,3.2403,0.26928
uniform,0.2,16,53205,118,2,16.87,3.3447,0.98408,0.013036,17.313,3.2691,1.054,15.516,3.5546,0.74568
uniform,0.2,16,53972,119,1,18.825,2.6963,0.32325,0.010812,21.679,2.5711,0.37273,12.536,2.8974,0.21383
uniform,0.2,32,55059,325,171,19.738,5.4073,4.8849,0.012469,20.767,6.0079,5.5704,16.638,3.2695,2.1149
uniform,0.2,32,55140,321,175,12.36,2.9883,2.6677,0.0042565,12.362,3.0351,2.7385,12.349,2.5799,2.0073
uniform,0.2,32,55287,323,173,12.497,3.3772,2.8689,0.0051243,12.371,3.3426,2.9661,13.418,3.63,1.9776
uniform,0.2,32,55258,339,157,13.789,3.4357,2.5514,0.0032703,13.474,3.4258,2.6645,16.053,3.5127,1.3663
uniform,0.2,32,54923,340,156,14.546,3.27,2.5534,0.0051999,13.512,3.2562,2.5768,22.327,3.4039,2.3082
uniform,0.2,32,54968,322,174,17.72,4.4927,3.5625,0.00729,18.665,4.7146,3.9715,14.641,3.7768,1.9398
uniform,0.2,48,55474,590,538,16.407,4.4786,3.7766,0.009772,16.679,4.6713,4.0538,15.085,3.4481,2.0517
uniform,0.2,48,55633,546,582,12.303,4.5602,4.0819,0.0056813,12.264,4.7912,4.3458,12.515,2.9985,2.1218
uniform,0.2,48,55697,531,597,12.426,3.9361,3.5225,0.0064802,12.153,3.9914,3.6582,14.38,3.4743,2.1907
uniform,0.2,48,55737,541,587,18.196,5.5703,5.4405,0.0053738,18.455,5.8896,5.818,16.657,3.2245,2.3729
uniform,0.2,48,55568,553,575,10.373,3.2674,3.157,0.003348,10.255,3.2925,3.2478,11.293,3.0545,2.2837
uniform,0.2,48,55775,559,569,16.695,5.1859,4.9444,0.0061487,17.059,5.5219,5.3822,14.985,3.3241,2.1313
uniform,0.2,64,55984,809,1207,20.834,6.8711,6.5535,0.0084388,21.809,7.5959,7.332,17.087,3.3697,2.4462
uniform,0.2,64,55909,823,1193,25.001,8.3678,7.3966,0.01346,32.023,10.897,9.8857,12.854,3.7526,2.306
uniform,0.2,64,55943,802,1214,14.986,4.5186,3.9847,0.0061892,14.511,4.5943,4.1292,18.84,3.7419,2.232
uniform,0.2,64,55915,810,1206,19.876,5.2857,4.7663,0.0077998,20.124,5.4598,5.0219,18.372,4.1323,2.8624
uniform,0.2,64,55991,843,1173,12.689,4.1781,3.9586,0.0063205,12.638,4.2777,4.1349,13.076,3.3083,2.1534
uniform,0.2,64,55912,805,1211,17.403,5.5009,4.8216,0.013402,17.925,5.8918,5.2189,14.967,3.3506,2.4902
uniform,0.25,16,52721,117,3,20.506,3.8346,1.3081,0.015471,22.33,3.2219,1.5033,15.753,4.9234,0.70782
uniform,0.25,16,52779,119,1,14.432,2.6093,0.36682,0.0097348,15.092,1.8406,0.34804,11.911,4.2989,0.42471
uniform,0.25,16,52719,118,2,16.209,3.601,0.65777,0.019016,16.356,2.4117,0.66145,15.651,6.2842,0.64392
uniform,0.25,16,52905,115,5,13.625,2.0961,0.57008,0.0081067,13.277,1.6627,0.53663,16.38,4.3318,0.8072
uniform,0.25,16,52657,119,1,16.449,2.3843,0.29703,0.0062311,15.934,2.0079,0.30339,18.463,3.5573,0.26858
uniform,0.25,16,52797,119,1,14.455,2.4368,0.2695,0.0055834,14.047,2.0846,0.23256,16.738,3.9599,0.43136
uniform,0.25,32,52930,359,137,17.553,3.6581,3.0083,0.0088223,18.116,3.6238,3.2044,14.836,3.8046,1.9257
uniform,0.25,32,52929,359,137,17.433,4.0725,3.012,0.0073181,16.52,4.0194,3.1256,23.605,4.4824,1.8387
uniform,0.25,32,52984,354,142,29.808,7.0683,5.039,0.012431,35.183,8.0923,6.2819,18.7,5.1001,1.9199
uniform,0.25,32,52975,354,142,13.606,3.6546,2.5973,0.0068968,12.685,3.3409,2.6331,20.192,5.7907,2.242
uniform,0.25,32,52977,356,140,24.727,6.0571,4.9329,0.014819,26.923,6.5459,5.6407,17.566,4.4996,2.0871
uniform,0.25,32,52980,351,145,20.838,5.5109,4.583,0.012182,22.513,5.9317,5.1582,15.143,4.0959,2.2777
uniform,0.25,48,53020,629,499,22.239,5.5841,4.2273,0.0096974,22.572,5.6653,4.5191,20.561,5.175,2.3619
uniform,0.25,48,53064,623,505,21.333,5.6746,4.8494,0.0091262,21.339,5.7392,5.1197,21.294,5.2271,2.3864
uniform,0.25,48,53052,619,509,20.247,5.7644,4.9473,0.010596,20.996,6.0207,5.4298,16.996,4.6244,2.1993
uniform,0.25,48,53057,644,484,21.021,5.4774,4.4674,0.0071929,20.904,5.5192,4.6433,21.836,5.1702,2.924
uniform,0.25,48,53106,634,494,18.121,5.1137,4.3332,0.0092262,18.012,5.2159,4.5391,18.746,4.4665,2.8372
uniform,0.25,48,53108,620,508,19.199,4.9713,3.9824,0.0083133,18.809,4.8449,4.1762,21.806,5.8015,2.1153
uniform,0.25,64,53182,903,1113,25.191,5.3796,4.8517,0.0095714,25.183,5.3508,5.0538,25.244,5.5665,3.2018
uniform,0.25,64,53131,909,1107,24.443,7.1601,6.3021,0.0096306,25.799,7.4831,6.871,18.228,5.7323,3.248
uniform,0.25,64,53122,929,1087,18.144,5.8548,4.8135,0.0074875,17.4,5.7573,4.9264,24.215,6.7285,3.533
uniform,0.25,64,53110,930,1086,21.615,6.4632,5.8561,0.0087688,21.906,6.7085,6.2613,19.942,4.9026,2.7087
uniform,0.25,64,53162,981,1035,22.001,5.9064,5.2363,0.0085663,21.725,6.0075,5.4758,24.026,5.055,2.7491
uniform,0.25,64,53137,942,1074,27.687,7.2372,6.7056,0.0092262,28.192,7.5623,7.1475,24.455,4.8596,2.8924
grown,0.05,8,5702,26,2,15.924,3.5692,0.81276,0.056936,17.604,3.5724,0.83313,10.694,3.5615,0.76006
grown,0.05,8,4348,28,0,13.381,3.163,0.05034,0.05034,12.467,2.4915,0.032871,17.047,5.2861,0.096957
grown,0.05,8,5831,21,7,23.715,7.0131,4.0887,0.096371,25.577,5.7088,4.4477,17.049,9.9156,2.7642
grown,0.05,8,4712,21,7,10.561,3.0211,1.9421,0.047736,8.4618,2.6289,1.7288,21.469,5.3396,3.2591
grown,0.05,8,4797,23,5,9.6293,3.2211,2.204,0.047619,9.9403,3.0937,2.3943,8.474,3.625,1.3605
grown,0.05,8,4399,25,3,13.043,4.5046,2.4392,0.046864,12.87,3.8307,2.3752,14.396,8.1779,2.9161
grown,0.05,12,453,56,10,28.968,6.988,4.7991,0.092291,38.069,8.5093,6.5427,14.434,4.9454,1.6084
grown,0.05,12,500,58,8,12.724,4.8328,2.9969,0.067354,12.021,4.4595,3.0969,17.947,7.4373,1.8353
grown,0.05,12,642,56,10,27.888,6.3927,3.7533,0.097116,35.336,7.4458,4.9629,17.918,5.1704,1.9652
grown,0.05,12,559,56,10,20.333,6.6384,4.044,0.061357,19.373,6.3683,4.2846,24.053,7.6993,2.7712
grown,0.05,12,114,43,23,23.402,4.7778,2.4817,0.075113,26.75,4.6126,2.9184,16.665,5.0321,1.5384
grown,0.05,12,177,58,8,18.072,3.3863,1.6921,0.052233,17.785,2.8432,1.6827,19.915,5.87,1.7548
grown,0.05,16,1829,85,35,21.605,6.5663,4.2654,0.078542,22.764,6.1806,4.5866,17.238,7.7036,2.968
grown,0.05,16,1993,92,28,17.881,4.9632,2.9676,0.05039,18.413,4.5028,3.1415,15.2,6.6831,1.9805
grown,0.05,16,2505,94,26,20.186,5.6117,3.4555,0.078889,20.533,5.3583,3.9604,19.258,6.2214,1.4907
grown,0.05,16,2410,90,30,39.552,11.564,6.3536,0.12232,45.575,12.283,7.0197,25.696,10.174,4.9659
grown,0.05,16,2462,104,16,14.172,4.6975,1.9639,0.062892,14.018,3.6043,2.0157,14.843,7.9161,1.7131
grown,0.05,16,2284,105,15,30.837,7.7046,3.4016,0.09166,35.039,7.7494,3.8025,19.413,7.6108,2.3622
grown,0.05,24,2867,184,92,20.55,6.6664,4.1154,0.072251,20.289,6.149,4.2019,22.198,9.4026,3.4887
grown,0.05,24,2803,162,114,25.188,9.0179,7.1296,0.092531,27.13,9.8092,8.294,20.301,6.9797,3.3949
grown,0.05,24,2774,157,119,18.655,6.5376,5.4764,0.054664,17.571,6.429,5.5635,26.849,7.4912,4.5665
grown,0.05,24,3293,162,114,20.061,6.9788,5.5319,0.065502,19.004,6.5379,5.8787,24.172,8.6579,3.6298
grown,0.05,24,2611,168,108,22.567,6.6172,5.6939,0.059423,23.11,6.6722,6.3809,20.763,6.4407,2.5044
grown,0.05,24,3291,185,91,24.867,7.5038,5.7054,0.05315,24.7,7.1611,5.8352,26.278,10.01,4.4126
grown,0.05,32,3352,250,246,20.181,7.7413,4.9791,0.070892,21.005,7.7178,5.5197,17.311,7.8152,2.6071
grown,0.05,32,3339,301,195,17.198,5.6678,3.7709,0.055537,16.386,5.2788,3.9075,22.7,8.1491,2.4038
grown,0.05,32,3787,266,230,24.709,7.6513,4.7968,0.079982,25.729,7.4818,5.3567,21.472,8.1241,2.5457
grown,0.05,32,3629,276,220,17.016,6.9432,5.4688,0.065621,16.499,6.5011,5.8589,19.125,8.6196,3.2422
grown,0.05,32,3328,272,224,17.276,5.4339,3.4369,0.064037,16.62,4.9457,3.4969,21.479,8.1611,2.962
grown,0.05,32,3825,289,207,19.36,5.3388,3.6614,0.04199,18.007,4.805,3.5991,33.629,10.463,4.4907
grown,0.1,8,10918,25,3,16.31,3.6296,1.565,0.024936,19.527,3.7223,1.8901,10.019,3.492,0.914
grown,0.1,8,11549,21,7,18.288,5.3001,3.1288,0.030992,18.306,5.279,3.0664,18.208,5.3943,3.3955
grown,0.1,8,10193,25,3,12.424,3.7839,1.493,0.028538,13.104,3.4221,1.7363,11.154,4.3378,0.93452
grown,0.1,8,11198,28,0,9.8871,2.4008,0.026885,0.026885,10.967,2.5463,0.020231,8.6236,2.2396,0.03238
grown,0.1,8,10550,21,7,6.3246,1.7902,1.7235,0.023443,6.4535,1.8182,1.7506,5.7927,1.6762,1.613
grown,0.1,8,10833,23,5,9.905,2.6323,1.3963,0.014777,8.8168,2.8001,1.4717,13.486,1.7841,1.03
grown,0.1,12,6425,53,13,7.549,2.8376,2.4439,0.013652,7.35,2.7379,2.4885,8.6999,3.3999,2.1406
grown,0.1,12,6728,52,14,9.5056,2.7091,2.1615,0.018356,9.5731,2.2152,2.2163,9.0951,4.6638,1.8033
grown,0.1,12,7089,49,17,21.88,8.1287,6.1093,0.036556,25.794,9.776,7.6665,13.911,4.5815,2.1293
grown,0.1,12,6054,62,4,20.47,4.8056,2.2407,0.03537,21.353,4.8907,2.7208,18.929,4.6624,1.0521
grown,0.1,12,6061,49,17,10.736,3.2983,2.3089,0.029959,11.323,3.4256,2.6431,9.094,2.9538,1.079
grown,0.1,12,7145,52,14,8.5794,3.7909,2.847,0.015127,8.3903,3.7771,2.9515,9.6644,3.8745,2.089
grown,0.1,16,7690,75,45,23.688,7.0562,3.7908,0.036601,28.706,8.0109,4.6856,14.513,5.5326,2.0636
