family,param,P,cfg,n_near,n_far,e_2b,e_near,e_diag,e_far,lin_2b,lin_near,lin_diag,ang_2b,ang_near,ang_diag
uniform,0.05,64,43889,561,1455,3.378,1.1549,1.0853,0.0020264,3.4046,1.1893,1.1212,3.1838,0.87323,0.78619
uniform,0.05,64,43926,514,1502,4.3891,1.6432,1.5608,0.0022597,4.7906,1.8352,1.786,3.1061,0.97836,0.68572
uniform,0.075,16,44154,112,8,7.0752,1.3465,0.44347,0.0012398,7.8493,1.2123,0.5069,5.059,1.5939,0.26268
uniform,0.075,16,43975,109,11,6.4884,1.2502,0.69168,0.0038049,6.8827,1.4316,0.8166,5.4988,0.68425,0.23333
uniform,0.075,16,44670,101,19,4.5726,0.5931,0.52496,0.00022777,5.1477,0.68619,0.6106,2.7368,0.25669,0.20526
uniform,0.075,16,44614,114,6,6.0673,0.70681,0.41252,0.0049735,6.8516,0.66001,0.49205,4.3905,0.78121,0.21373
uniform,0.075,16,44752,109,11,3.9814,0.9779,0.32154,0.0058597,4.0316,1.0647,0.34645,3.789,0.54578,0.20405
uniform,0.075,16,44277,106,14,3.2653,0.414,0.31752,0.00059949,3.1823,0.37394,0.32505,3.9109,0.66675,0.24271
uniform,0.075,32,45745,312,184,6.0161,1.4679,1.2002,0.0022352,6.0197,1.4499,1.2582,5.9961,1.5637,0.80908
uniform,0.075,32,46086,316,180,5.0955,1.0815,0.84115,0.0026289,5.2388,1.1543,0.90751,4.3503,0.63005,0.39526
uniform,0.075,32,45946,312,184,4.5003,0.9511,0.86672,0.0011889,4.6924,0.99383,0.91335,3.4287,0.7105,0.59326
uniform,0.075,32,45848,320,176,6.4461,1.3022,1.1044,0.0018918,6.9956,1.393,1.251,4.4601,0.98877,0.4549
uniform,0.075,32,45553,353,143,6.8441,1.5668,1.3464,0.0022456,7.2591,1.6984,1.4848,5.1203,0.97015,0.65737
uniform,0.075,32,46118,336,160,7.8078,1.5505,1.3511,0.0044476,9.1886,1.8377,1.6307,4.3197,0.80628,0.56786
uniform,0.075,48,46504,480,648,5.7352,1.7794,1.688,0.0028357,6.3392,2.0092,1.937,3.6799,0.92539,0.67471
uniform,0.075,48,46584,553,575,6.5164,2.0265,1.7979,0.00261,6.9877,2.3148,2.0751,5.0905,0.92287,0.66434
uniform,0.075,48,46655,547,581,5.1207,1.3535,1.3019,0.0018028,5.2636,1.4181,1.3785,4.1969,0.89042,0.71037
uniform,0.075,48,46323,531,597,5.8943,2.309,2.3187,0.0027048,6.3514,2.5683,2.5882,3.8679,0.92901,0.83928
uniform,0.075,48,46624,527,601,6.0443,1.5877,1.4208,0.0023804,6.1409,1.6413,1.5067,5.4815,1.2515,0.79633
uniform,0.075,48,46465,528,600,5.2574,1.3627,1.3018,0.0031545,5.4125,1.4358,1.3762,4.2885,0.84456,0.76147
uniform,0.075,64,46716,764,1252,6.898,2.1774,2.1478,0.0054715,8.6372,2.7847,2.7613,3.2553,0.78504,0.69977
uniform,0.075,64,46677,848,1168,6.8918,1.7595,1.6174,0.0050157,7.2508,1.9116,1.7744,5.3419,1.0056,0.79165
uniform,0.075,64,46718,819,1197,5.7655,1.8966,1.7578,0.0020042,5.84,1.9959,1.854,5.3125,1.1625,1.0351
uniform,0.075,64,46665,734,1282,5.6421,2.0187,1.9154,0.0053759,5.9731,2.2262,2.1127,4.3309,1.0387,0.98236
uniform,0.075,64,46752,743,1273,6.111,1.7609,1.675,0.0014619,6.4853,1.9001,1.829,4.2456,1.0065,0.77076
uniform,0.075,64,46725,761,1255,8.6727,2.3378,2.1328,0.0047795,9.43,2.6296,2.426,6.1574,1.2337,0.95455
uniform,0.1,16,50965,118,2,12.796,1.093,0.38671,0.0024623,16.085,1.3541,0.46033,6.8401,0.63907,0.26976
uniform,0.1,16,50401,116,4,5.3445,0.79986,0.49431,0.005453,5.4957,0.84403,0.539,4.7644,0.61652,0.28146
uniform,0.1,16,50367,117,3,6.3254,0.99919,0.25346,0.0070988,7.6602,1.3126,0.34086,4.3486,0.42366,0.074389
uniform,0.1,16,51104,119,1,6.85,0.65753,0.17561,0.0031211,7.0049,0.67549,0.1948,6.2287,0.58454,0.062495
uniform,0.1,16,51091,117,3,5.1794,0.89821,0.19737,0.006103,4.8368,0.72538,0.18923,7.3242,1.7319,0.25208
uniform,0.1,16,49812,115,5,4.0626,0.48518,0.3075,0.0028843,4.0735,0.48221,0.31489,4.0208,0.49639,0.27745
uniform,0.1,32,51841,378,118,7.574,1.1325,0.92757,0.0035279,7.5469,1.1274,0.93046,7.8587,1.186,0.8958
uniform,0.1,32,51539,362,134,8.2462,1.4224,1.1615,0.0013641,8.8924,1.584,1.2983,6.0106,0.79071,0.6171
uniform,0.1,32,51284,396,100,8.3338,1.1911,1.023,0.0027494,8.3453,1.2124,1.0736,8.2554,1.0361,0.5739
uniform,0.1,32,51278,386,110,9.5169,1.7337,1.482,0.005098,9.9808,1.8732,1.6197,7.375,0.99677,0.69879
uniform,0.1,32,51629,361,135,6.3411,1.1572,0.99132,0.0049479,6.397,1.1962,1.0602,6.0643,0.94741,0.54975
uniform,0.1,32,51406,382,114,10.396,1.5122,1.3871,0.0033774,11.283,1.6562,1.5578,7.23,0.98083,0.68213
uniform,0.1,48,52034,637,491,8.82,2.1316,2.0409,0.0013871,10.011,2.4879,2.4218,5.634,1.0792,0.82267
uniform,0.1,48,52168,585,543,6.3056,1.9711,1.7909,0.0031651,6.465,2.0443,1.8922,5.3179,1.4927,1.051
uniform,0.1,48,52070,680,448,8.5844,2.0653,1.861,0.0031872,9.0078,2.2568,2.0592,6.9382,1.1934,0.89327
uniform,0.1,48,52124,681,447,9.43,1.8585,1.6951,0.0039061,9.6596,1.9687,1.8216,8.1111,1.1087,0.7256
uniform,0.1,48,52230,643,485,10.806,2.7671,2.4627,0.0026007,12.034,3.1089,2.8495,6.5026,1.5245,0.78047
uniform,0.1,48,52241,645,483,7.7065,1.9434,1.8216,0.0014755,7.8225,2.0674,1.9883,7.1953,1.2935,0.7944
uniform,0.1,64,52562,921,1095,9.8881,2.9986,2.7571,0.0053168,10.94,3.3556,3.13,5.8144,1.5375,1.0903
uniform,0.1,64,52482,968,1048,5.9588,2.0203,1.8778,0.0022582,5.9596,2.1031,1.9653,5.9532,1.2015,0.96487
uniform,0.1,64,52495,1021,995,13.632,3.0445,2.695,0.0051863,16.182,3.6437,3.3085,7.2449,1.4969,0.89625
uniform,0.1,64,52428,967,1049,7.9524,2.5605,2.4487,0.0011667,8.5079,2.8302,2.7131,5.4207,1.0833,0.97067
uniform,0.1,64,52552,945,1071,11.208,2.4172,2.1678,0.0061924,11.731,2.5565,2.3486,8.5462,1.6743,1.0572
uniform,0.1,64,52433,889,1127,7.1976,2.0557,1.9805,0.005686,7.6931,2.3083,2.2329,5.5565,1.048,0.95111
uniform,0.15,16,47505,120,0,7.6821,1.2198,0.0036554,0.0036554,7.4825,1.1358,0.002023,8.4369,1.5112,0.0071148
uniform,0.15,16,47616,120,0,13.541,1.3792,0.0043488,0.0043488,15.253,1.4437,0.0047768,9.0444,1.2356,0.0032963
uniform,0.15,16,46989,120,0,7.2269,1.1749,0.0054605,0.0054605,7.5399,1.1359,0.0048386,5.9083,1.3106,0.0073359
uniform,0.15,16,47371,120,0,8.6493,1.1854,0.0080811,0.0080811,8.7712,1.0307,0.0069281,7.8581,1.8746,0.013105
uniform,0.15,16,47249,120,0,10.732,1.1795,0.0078556,0.0078556,12.01,0.95925,0.0049048,6.5518,1.6007,0.012462
uniform,0.15,16,47580,120,0,9.5367,1.7375,0.0077097,0.0077097,9.426,1.8262,0.0035424,10.063,1.2114,0.017021
uniform,0.15,32,48967,442,54,8.565,1.6014,1.1103,0.0025052,8.9126,1.6439,1.217,7.1355,1.4339,0.56241
uniform,0.15,32,48540,429,67,8.1543,1.0782,0.86384,0.0058733,8.4453,1.1287,0.93208,6.5935,0.79471,0.40279
uniform,0.15,32,48760,447,49,17.06,2.7256,1.3405,0.0081693,20.139,3.0895,1.7065,11.12,2.0825,0.40888
uniform,0.15,32,48646,461,35,10.377,1.905,0.99511,0.0039791,10.502,1.9253,1.0633,9.7037,1.796,0.51218
uniform,0.15,32,48958,431,65,10.116,1.8724,1.3363,0.005383,11.14,1.9371,1.534,7.4528,1.7252,0.75219
uniform,0.15,32,49074,444,52,10.485,1.415,0.97987,0.0037104,10.536,1.4429,1.0244,10.204,1.2529,0.68917
uniform,0.15,48,49354,804,324,12.741,2.7176,2.2545,0.0055953,13.615,2.9815,2.5468,9.5864,1.668,0.8876
uniform,0.15,48,49402,801,327,13.49,2.8565,2.4673,0.0045065,14.21,3.1404,2.779,10.847,1.6341,0.90258
uniform,0.15,48,49434,808,320,10.693,2.2018,1.8695,0.0035333,11.011,2.2838,2.021,9.1054,1.7821,0.90235
uniform,0.15,48,49157,834,294,12.656,2.8305,2.3548,0.0045602,13.105,3.0622,2.6027,10.767,1.6701,0.91907
uniform,0.15,48,49159,839,289,15.475,2.4375,1.785,0.0061415,16.146,2.5825,1.9495,12.663,1.7968,0.9479
uniform,0.15,48,49343,811,317,14.276,3.1676,2.5777,0.0042434,16.362,3.7644,3.1181,9.0052,1.4449,0.8565
uniform,0.15,64,49639,1230,786,11.965,2.469,2.0705,0.0060515,11.926,2.5108,2.1458,12.297,2.0647,1.2201
uniform,0.15,64,49557,1221,795,11.883,2.4976,2.0747,0.0040605,12.326,2.6426,2.2361,9.3053,1.5604,0.86909
uniform,0.15,64,49563,1263,753,9.0704,2.2229,1.9841,0.0032696,8.807,2.2,2.029,12.007,2.5036,1.2537
uniform,0.15,64,49654,1235,781,11.479,3.0626,2.6751,0.0031321,12.023,3.2788,2.9161,8.6777,1.8256,1.1027
uniform,0.15,64,49651,1216,800,13.094,3.287,2.7687,0.0040396,13.855,3.5471,3.0627,9.9834,2.1412,1.2912
uniform,0.15,64,49679,1218,798,10.521,2.5656,2.3017,0.00338,10.33,2.6002,2.3719,12.31,2.1796,1.3897
uniform,0.2,16,54679,120,0,11.245,1.0937,0.0031145,0.0031145,10.808,0.99218,0.0022661,13.554,1.5664,0.0060667
uniform,0.2,16,54293,120,0,9.5891,1.1497,0.0021402,0.0021402,9.6052,0.88401,0.0016428,9.5218,1.8883,0.0035206
uniform,0.2,16,54573,120,0,14.531,1.78,0.0084401,0.0084401,14.199,1.561,0.0061007,16.95,3.0001,0.018503
uniform,0.2,16,54394,120,0,15.076,2.1608,0.0074566,0.0074566,15.102,1.8347,0.0041098,14.958,3.2334,0.015084
uniform,0.2,16,53205,120,0,16.871,3.2375,0.013043,0.013043,17.315,3.1196,0.010955,15.516,3.5568,0.017754
uniform,0.2,16,53972,120,0,18.826,2.6761,0.010816,0.010816,21.681,2.5385,0.010055,12.536,2.8957,0.012004
uniform,0.2,32,55059,466,30,19.641,3.0514,1.511,0.012955,20.64,3.2505,1.7357,16.641,2.4323,0.55578
uniform,0.2,32,55140,465,31,12.362,1.3772,0.83273,0.004533,12.363,1.2968,0.84483,12.353,1.9054,0.72783
uniform,0.2,32,55287,472,24,12.497,1.7171,0.84047,0.0054154,12.371,1.4867,0.86441,13.423,2.9282,0.6287
uniform,0.2,32,55258,478,18,13.775,2.3398,0.5885,0.0034139,13.458,2.1947,0.60644,16.056,3.2633,0.42146
uniform,0.2,32,54923,468,28,14.533,2.065,0.70953,0.0051489,13.497,2.0214,0.70847,22.329,2.4544,0.7199
uniform,0.2,32,54968,463,33,17.834,2.8906,1.5631,0.0073947,18.808,2.8127,1.7561,14.648,3.1052,0.76619
uniform,0.2,48,55474,949,179,16.512,2.8452,1.6268,0.0097664,16.804,2.8166,1.7219,15.088,2.9741,1.0822
uniform,0.2,48,55633,905,223,12.402,2.7273,1.9656,0.0058341,12.38,2.7779,2.0898,12.52,2.4327,1.0541
uniform,0.2,48,55697,888,240,12.431,2.4167,1.6845,0.0066356,12.158,2.3411,1.7364,14.39,2.9406,1.2042
uniform,0.2,48,55737,900,228,18.228,2.8151,2.0422,0.0049716,18.492,2.8725,2.173,16.659,2.4669,1.0299
uniform,0.2,48,55568,906,222,10.401,2.0212,1.4785,0.0034647,10.286,1.9787,1.5129,11.299,2.3402,1.1601
uniform,0.2,48,55775,918,210,16.75,2.9596,2.2723,0.0061464,17.125,3.0106,2.4788,14.991,2.7238,0.91796
uniform,0.2,64,55984,1388,628,20.857,4.6015,3.6227,0.0085892,21.836,4.9716,4.0588,17.088,3.0097,1.2914
uniform,0.2,64,55909,1420,596,25.204,5.4235,4.0056,0.013537,32.318,6.8888,5.3659,12.858,2.9497,1.1869
uniform,0.2,64,55943,1392,624,14.964,3.1487,2.2826,0.0064827,14.484,3.1435,2.3787,18.844,3.197,1.0244
uniform,0.2,64,55915,1407,609,19.786,3.4014,2.6343,0.0080465,20.019,3.4421,2.8053,18.381,3.1545,1.24
uniform,0.2,64,55991,1429,587,12.732,2.7607,2.3136,0.0066071,12.686,2.771,2.4181,13.081,2.6799,1.2366
uniform,0.2,64,55912,1394,622,17.465,3.9105,2.9339,0.013531,17.999,4.1568,3.207,14.971,2.6079,1.2011
uniform,0.25,16,52721,120,0,20.509,3.6072,0.015581,0.015581,22.334,2.8231,0.015975,15.753,4.9124,0.014674
uniform,0.25,16,52779,120,0,14.431,2.5803,0.009734,0.009734,15.09,1.8042,0.0092465,11.912,4.2743,0.011239
uniform,0.25,16,52719,120,0,16.213,3.521,0.019091,0.019091,16.361,2.316,0.015458,15.651,6.2039,0.028811
uniform,0.25,16,52905,120,0,13.621,2.039,0.0081002,0.0081002,13.272,1.5853,0.0058484,16.381,4.3206,0.018513
uniform,0.25,16,52657,120,0,16.448,2.3681,0.0062333,0.0062333,15.933,1.9826,0.0052236,18.464,3.5607,0.0093603
uniform,0.25,16,52797,120,0,14.453,2.4167,0.0055797,0.0055797,14.044,2.0613,0.0042412,16.738,3.9469,0.010562
uniform,0.25,32,52930,483,13,17.541,2.4723,0.56984,0.0088865,18.101,2.2296,0.61452,14.839,3.3339,0.30459
uniform,0.25,32,52929,483,13,17.412,2.7248,0.45342,0.007484,16.496,2.4613,0.46548,23.602,4.3114,0.33916
uniform,0.25,32,52984,478,18,29.713,5.3119,1.3616,0.012615,35.048,5.6461,1.6964,18.705,4.7505,0.5237
uniform,0.25,32,52975,480,16,13.623,2.4259,0.5148,0.006971,12.705,1.9393,0.50895,20.195,5.0415,0.56572
uniform,0.25,32,52977,478,18,24.833,3.5799,1.2079,0.014346,27.057,3.4237,1.3668,17.567,3.9667,0.6056
uniform,0.25,32,52980,482,14,20.927,3.5177,1.24,0.01251,22.624,3.5814,1.3834,15.143,3.3314,0.68957
uniform,0.25,48,53020,986,142,22.244,4.1265,1.9423,0.0099379,22.577,4.0434,2.099,20.563,4.5054,0.85008
uniform,0.25,48,53064,981,147,21.224,3.2342,1.6985,0.0091862,21.212,2.9322,1.7841,21.298,4.773,0.95469
uniform,0.25,48,53052,981,147,20.201,3.7111,2.6426,0.011012,20.94,3.5878,2.9114,16.995,4.1598,1.0622
uniform,0.25,48,53057,1004,124,21,3.3901,1.9937,0.0074683,20.879,3.2119,2.0906,21.838,4.4567,1.076
