op,table,P,S_over_R,M_par,M_perp,M_o,N_tz,N_zt,res_par,res_perp,Rc,M_par_ref,M_par_relerr,M_perp_ref,M_perp_relerr,M_o_ref,M_o_relerr,N_tz_ref,N_tz_relerr,N_zt_ref,N_zt_relerr
rpy,B10,7,0.1,3.074880618245999,2.564524477793715,-0.04659493785064777,-0.2951590062024204,0.2951590062024205,7.017780672878139e-17,2.0523961337525614e-16,2.420003114510611,2.91814,0.0537125080517038,2.53477,0.0117385316197189,-0.02038,1.2863070584223637,-0.27334,0.07982368552872023,0.15489,0.9056040170599815
rpy,B10,7,0.2,2.9863325888031738,2.4818802769391057,-0.037526125031309025,-0.2689362019323707,0.2689362019323707,1.690813158483487e-16,1.810901082957763e-16,2.535241358058735,2.85162,0.04724072239750518,2.46123,0.00839022640675829,-0.02538,0.4785707262139096,-0.25747,0.04453412798528274,0.16849,0.5961552729086042
rpy,B10,7,0.5,2.759710041956876,2.2805799160862463,-0.018870576456972096,-0.2082641947764279,0.20826419477642788,3.1272997730882726e-16,3.1468289549697835e-17,2.8809560887031083,2.66833,0.03424615469483751,2.27205,0.0037542818539408034,-0.02195,0.14029264432928953,-0.20568,0.012564151966296703,0.1612,0.29196150605724486
rpy,B10,7,1,2.4766840520583773,2.046631895883244,-0.00335559434033078,-0.14462791303918604,0.14462791303918604,1.6317562751052212e-16,1.2033207475349706e-16,3.45714730644373,2.42473,0.02142673702159723,2.04399,0.0012925189865137059,-0.00933,0.6403435862453611,-0.1443,0.0022724396339988116,0.12655,0.14285194025433462
rpy,B10,7,2,2.115163584462128,1.7696728310757435,0.0067080061925526985,-0.08135320108454215,0.08135320108454215,2.0454833562669666e-16,1.7710006873168689e-16,4.609529741924973,2.09557,0.009350002367913265,1.76922,0.00025594955728708356,0.00369,0.8178878570603518,-0.08135,3.9349533400681065e-05,0.07706,0.055712445945265344
rpy,B10,7,5,1.6410217766926418,1.43224216090043,0.00839747205754664,-0.026564310558217834,0.026564310558217834,8.590038344966668e-17,1.196937107168771e-16,8.066677048368703,1.63862,0.0014657313426187004,1.43223,8.490885144295032e-06,0.00801,0.04837354026799512,-0.02656,0.00016229511362324898,0.0263,0.010049831110944232
rpy,B10,7,10,1.3746356883134119,1.250728623373176,0.005750174234774962,-0.009039244564949128,0.009039244564949128,1.9035674839662396e-16,2.0915846804924407e-16,13.82858922577492,1.37435,0.00020787158541267777,1.25073,1.1006586744285065e-06,0.0057,0.008802497328940645,-0.00904,8.35658242114952e-05,0.00902,0.0021335437859342867
rpy,B10,7,1000,1.0044910173383035,1.002994013227585,7.412434435043658e-05,-1.2964601907489158e-06,1.296460190748916e-06,5.1086239854908235e-17,1.3040463547206567e-16,1154.6872003522058,1.00449,1.0127908723604589e-06,1.00299,4.0012638061399285e-06,7e-05,0.0589192050062369,0.0,,0.0,
rpy,B10,8,0.1,3.2321930291069196,2.6691893095056938,-0.022254694374671036,-0.27943067552248557,0.27943067552248557,1.7258555330247154e-16,2.9938116790527553e-17,2.743782226240391,3.07791,0.05012590657521483,2.63882,0.011508670354815346,-0.01561,0.42566908229795225,-0.26482,0.05517210000183359,0.146,0.9139087364553807
rpy,B10,8,0.2,3.136487753705222,2.5818009799582002,-0.012605611777552287,-0.25460522294507465,0.25460522294507465,1.9674605602122808e-16,2.951285157221901e-17,2.8744385227280285,3.00349,0.04428107092256735,2.56007,0.008488431940611064,-0.01734,0.27303276946065247,-0.24754,0.028541742526761893,0.15818,0.6095917495579383
rpy,B10,8,0.5,2.891832982424626,2.3685373440351554,0.006493595080904246,-0.19716628464866578,0.19716628464866578,1.836557391033606e-16,8.340089925082473e-17,3.2664074121909414,2.80143,0.03227029853490046,2.35909,0.004004656047524781,-0.0081,1.801678405049907,-0.19605,0.005693877320406952,0.1508,0.3074687310919483
rpy,B10,8,1,2.586774611337126,2.119953534729422,0.020782800218783003,-0.13692103100601793,0.13692103100601796,1.7613455788104282e-16,2.0817564704178722e-17,3.9196888946291293,2.53549,0.0202267062134444,2.11689,0.0014471865469729973,0.00832,1.4979327186037266,-0.13696,0.0002845282854998807,0.11845,0.15593947662319935
rpy,B10,8,2,2.197722636260255,1.824681795532245,0.027050199975117647,-0.07701807994088508,0.07701807994088508,2.3067136019747665e-16,1.0928373912843225e-17,5.226251859505506,2.17849,0.008828425313063104,1.82414,0.0002970142271124315,0.02166,0.2488550311688665,-0.07706,0.0005439924619117847,0.07242,0.06349185226298099
rpy,B10,8,5,1.6881939900561738,1.4636846302035118,0.02112912825546248,-0.025148760797023707,0.025148760797023707,2.4558142857948257e-16,6.684108322640166e-18,9.145940754134635,1.68585,0.001390390637466972,1.46366,1.6827817602342057e-05,0.02047,0.03219971936797669,-0.02515,4.927248414680419e-05,0.02485,0.012022567284656178
rpy,B10,8,10,1.4021519940895746,1.269071701171769,0.013383628491146072,-0.008557564437876121,0.008557564437876123,2.4760459506807537e-16,1.0308424355404089e-16,15.678755578516517,1.40187,0.0002011556632031737,1.26907,1.3404869463532547e-06,0.0133,0.00628785647714829,-0.00856,0.0002845282854998807,0.00854,0.002056725746618494
rpy,B10,8,1000,1.0048205488780297,1.0032137009188016,0.00016681930654217027,-1.2273748700743837e-06,1.2273748700743837e-06,1.1297504654593125e-16,2.3947210165992647e-22,1309.1760908061292,1.00482,5.462451281758039e-07,1.00321,3.6890768649049064e-06,0.00017,0.01870996151664553,0.0,,0.0,
