exp,op,phi,mean,std,n,metric
fig4g,SD,0.05,4.8815,0.34785,10,prmse_lin
fig4g,SD,0.075,8.8105,0.25762,10,prmse_lin
fig4g,SD,0.1,11.872,0.48945,10,prmse_lin
fig4g,SD,0.125,15.254,0.3934,10,prmse_lin
fig4g,SD,0.15,18.913,0.37563,10,prmse_lin
fig4g,SD,0.175,22.127,0.46622,10,prmse_lin
fig4g,SD,0.2,25.178,0.42832,10,prmse_lin
fig4g,SD_Minf,0.025,0.075859,0.0090076,10,prmse_lin
fig4g,SD_Minf,0.05,0.13269,0.020987,10,prmse_lin
fig4g,SD_Minf,0.075,0.21389,0.016079,10,prmse_lin
fig4g,SD_Minf,0.1,0.27268,0.024412,10,prmse_lin
fig4g,SD_Minf,0.125,0.36777,0.022183,10,prmse_lin
fig4g,SD_Minf,0.15,0.50126,0.033368,10,prmse_lin
fig4g,SD_Minf,0.175,0.6198,0.04669,10,prmse_lin
fig4g,SD_Minf,0.2,0.76873,0.054092,10,prmse_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.88941,0.14488,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,1.2077,0.21258,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,1.9311,0.39395,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,2.545,0.22733,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,3.3325,0.34328,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,4.0464,0.39758,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,4.9337,0.43069,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,6.0847,0.74634,10,prmse_fluct
fig4,SD,0.025,0.87418,0.17056,10,prmse_fluct
fig4,SD,0.05,1.4571,0.25753,10,prmse_fluct
fig4,SD,0.075,3.0483,0.63437,10,prmse_fluct
fig4,SD,0.1,3.7599,0.69726,10,prmse_fluct
fig4,SD,0.125,4.5746,0.97741,10,prmse_fluct
fig4,SD,0.15,6.5379,0.94066,10,prmse_fluct
fig4,SD,0.175,6.9312,1.3268,10,prmse_fluct
fig4,SD,0.2,8.5863,1.9573,10,prmse_fluct
fig4,SD_Minf,0.025,1.8078,0.27929,10,prmse_fluct
fig4,SD_Minf,0.05,2.3316,0.28974,10,prmse_fluct
fig4,SD_Minf,0.075,3.2632,0.47274,10,prmse_fluct
fig4,SD_Minf,0.1,4.2829,0.33396,10,prmse_fluct
fig4,SD_Minf,0.125,5.3478,0.59067,10,prmse_fluct
fig4,SD_Minf,0.15,6.3468,0.57383,10,prmse_fluct
fig4,SD_Minf,0.175,7.8859,0.56066,10,prmse_fluct
fig4,SD_Minf,0.2,9.6124,1.0775,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.025,3.9292,0.21917,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.05,7.0581,0.39958,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.075,10.422,0.58041,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.1,13.128,0.59133,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.125,16.292,0.90122,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.15,20.199,1.2818,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.175,23.59,1.3022,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.2,29.279,1.5612,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.72374,0.11227,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,1.2307,0.1637,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,1.8345,0.1086,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,2.4622,0.20029,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,2.9581,0.16321,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,3.9131,0.29026,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,4.5577,0.28401,10,prmse_fluct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,5.4974,0.43329,10,prmse_fluct
fig4g,M_rpy,0.025,5.3625,0.28871,10,prmse_fluct
fig4g,M_rpy,0.05,10.116,0.39611,10,prmse_fluct
fig4g,M_rpy,0.075,16.144,0.61836,10,prmse_fluct
fig4g,M_rpy,0.1,21.217,0.61831,10,prmse_fluct
fig4g,M_rpy,0.125,27.558,0.56929,10,prmse_fluct
fig4g,M_rpy,0.15,34.174,1.2029,10,prmse_fluct
fig4g,M_rpy,0.175,40.475,1.5267,10,prmse_fluct
fig4g,M_rpy,0.2,48.426,1.6919,10,prmse_fluct
fig4g,SD,0.025,3.6405,0.36178,10,prmse_fluct
fig4g,SD,0.05,7.0681,0.65814,10,prmse_fluct
fig4g,SD,0.075,12.394,0.54931,10,prmse_fluct
fig4g,SD,0.1,16.216,1.0722,10,prmse_fluct
fig4g,SD,0.125,20.812,1.0708,10,prmse_fluct
fig4g,SD,0.15,25.205,0.65586,10,prmse_fluct
fig4g,SD,0.175,29.525,0.8078,10,prmse_fluct
fig4g,SD,0.2,33.191,0.78467,10,prmse_fluct
fig4g,SD_Minf,0.025,0.48157,0.056162,10,prmse_fluct
fig4g,SD_Minf,0.05,0.85942,0.1507,10,prmse_fluct
fig4g,SD_Minf,0.075,1.3785,0.11836,10,prmse_fluct
fig4g,SD_Minf,0.1,1.8336,0.17047,10,prmse_fluct
fig4g,SD_Minf,0.125,2.445,0.1555,10,prmse_fluct
fig4g,SD_Minf,0.15,3.465,0.26587,10,prmse_fluct
fig4g,SD_Minf,0.175,4.3567,0.38624,10,prmse_fluct
fig4g,SD_Minf,0.2,5.6547,0.38246,10,prmse_fluct
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.025,1.0352,0.1103,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.05,1.693,0.16079,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.075,2.6682,0.17189,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.1,3.2217,0.19857,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.125,3.7529,0.24341,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.15,4.4851,0.24882,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.175,5.2365,0.39652,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.2,5.7368,0.20462,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.36187,0.076835,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,0.66945,0.12903,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,1.1866,0.071599,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,1.6087,0.12522,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,2.0564,0.16768,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,2.7228,0.17467,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,3.2341,0.17459,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,3.8217,0.20052,10,prmse_ang
fig4,M_rpy,0.025,3.1866,0.39976,10,prmse_ang
fig4,M_rpy,0.05,5.0588,0.45698,10,prmse_ang
fig4,M_rpy,0.075,7.9781,0.39026,10,prmse_ang
fig4,M_rpy,0.1,10.044,0.68609,10,prmse_ang
fig4,M_rpy,0.125,12.544,0.58121,10,prmse_ang
fig4,M_rpy,0.15,15.678,0.42092,10,prmse_ang
fig4,M_rpy,0.175,18.965,1.2368,10,prmse_ang
fig4,M_rpy,0.2,21.708,0.56783,10,prmse_ang
fig4,SD,0.025,0.25715,0.032002,10,prmse_ang
fig4,SD,0.05,0.49453,0.077941,10,prmse_ang
fig4,SD,0.075,0.992,0.1185,10,prmse_ang
fig4,SD,0.1,1.3033,0.17158,10,prmse_ang
fig4,SD,0.125,1.6382,0.31339,10,prmse_ang
fig4,SD,0.15,2.3426,0.29964,10,prmse_ang
fig4,SD,0.175,2.6258,0.40222,10,prmse_ang
fig4,SD,0.2,3.2489,0.63441,10,prmse_ang
fig4,SD_Minf,0.025,1.5442,0.27272,10,prmse_ang
fig4,SD_Minf,0.05,2.2144,0.27265,10,prmse_ang
fig4,SD_Minf,0.075,3.1097,0.18906,10,prmse_ang
fig4,SD_Minf,0.1,3.7039,0.3063,10,prmse_ang
fig4,SD_Minf,0.125,4.5628,0.3821,10,prmse_ang
fig4,SD_Minf,0.15,5.562,0.20949,10,prmse_ang
fig4,SD_Minf,0.175,6.7611,0.42806,10,prmse_ang
fig4,SD_Minf,0.2,8.0027,0.33174,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.025,6.6117,0.59858,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.05,9.433,0.67056,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.075,12.382,0.46847,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.1,14.381,0.77402,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.125,16.618,0.94398,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.15,19.479,0.89023,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.175,21.295,1.0153,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.2,25.059,1.4503,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,1.2254,0.16274,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,2.0679,0.22119,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,3.0657,0.14876,10,prmse_ang
