exp,op,phi,mean,std,n,metric
fig4g,SD,0.05,4.8309,0.34321,10,err_mean_pct
fig4g,SD,0.075,8.7338,0.25441,10,err_mean_pct
fig4g,SD,0.1,11.792,0.47791,10,err_mean_pct
fig4g,SD,0.125,15.155,0.37575,10,err_mean_pct
fig4g,SD,0.15,18.818,0.37515,10,err_mean_pct
fig4g,SD,0.175,22.021,0.46567,10,err_mean_pct
fig4g,SD,0.2,25.079,0.42435,10,err_mean_pct
fig4g,SD_Minf,0.025,0.034029,0.0032171,10,err_mean_pct
fig4g,SD_Minf,0.05,0.064832,0.0086158,10,err_mean_pct
fig4g,SD_Minf,0.075,0.11487,0.0073133,10,err_mean_pct
fig4g,SD_Minf,0.1,0.15622,0.013665,10,err_mean_pct
fig4g,SD_Minf,0.125,0.22076,0.012252,10,err_mean_pct
fig4g,SD_Minf,0.15,0.31562,0.021641,10,err_mean_pct
fig4g,SD_Minf,0.175,0.39764,0.030023,10,err_mean_pct
fig4g,SD_Minf,0.2,0.50904,0.036308,10,err_mean_pct
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.025,1.7024,0.24431,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.05,2.6659,0.29214,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.075,3.6674,0.59174,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.1,4.2751,0.94037,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.125,5.4971,1.0905,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.15,6.0858,1.4092,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.175,8.5745,2.333,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.2,7.7457,2.2089,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.66917,0.1292,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,0.80204,0.055075,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,1.2569,0.19829,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,1.5529,0.24309,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,2.2219,0.49984,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,2.4987,0.486,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,3.2898,0.70142,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,3.4765,1.043,10,rel_rmse
fig4,M_rpy,0.025,4.4392,0.61701,10,rel_rmse
fig4,M_rpy,0.05,6.6678,0.5019,10,rel_rmse
fig4,M_rpy,0.075,10.026,1.697,10,rel_rmse
fig4,M_rpy,0.1,12.233,2.0214,10,rel_rmse
fig4,M_rpy,0.125,16.562,3.039,10,rel_rmse
fig4,M_rpy,0.15,18.46,3.9771,10,rel_rmse
fig4,M_rpy,0.175,24.708,5.4218,10,rel_rmse
fig4,M_rpy,0.2,23.685,6.4492,10,rel_rmse
fig4,SD,0.025,1.3281,0.32596,10,rel_rmse
fig4,SD,0.05,3.2105,0.64926,10,rel_rmse
fig4,SD,0.075,6.0936,1.6633,10,rel_rmse
fig4,SD,0.1,8.7326,0.904,10,rel_rmse
fig4,SD,0.125,10.188,1.9499,10,rel_rmse
fig4,SD,0.15,13.779,3.0808,10,rel_rmse
fig4,SD,0.175,15.06,3.752,10,rel_rmse
fig4,SD,0.2,18.578,4.3117,10,rel_rmse
fig4,SD_Minf,0.025,1.4568,0.2546,10,rel_rmse
fig4,SD_Minf,0.05,1.7211,0.12793,10,rel_rmse
fig4,SD_Minf,0.075,2.3308,0.5031,10,rel_rmse
fig4,SD_Minf,0.1,2.763,0.40431,10,rel_rmse
fig4,SD_Minf,0.125,3.7613,0.87112,10,rel_rmse
fig4,SD_Minf,0.15,4.1302,0.86508,10,rel_rmse
fig4,SD_Minf,0.175,5.4726,1.082,10,rel_rmse
fig4,SD_Minf,0.2,5.7891,1.6933,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.025,0.67031,0.045226,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.05,1.1058,0.072487,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.075,1.5385,0.087304,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.1,1.7716,0.061089,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.125,2.1694,0.082136,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.15,2.4955,0.13399,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.175,2.8143,0.12327,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.2,3.2789,0.15444,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.10559,0.016307,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,0.17502,0.02165,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,0.25661,0.013847,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,0.32501,0.02552,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,0.39104,0.01491,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,0.48167,0.025542,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,0.55338,0.020264,10,rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,0.62422,0.040355,10,rel_rmse
fig4g,M_rpy,0.025,1.1388,0.072006,10,rel_rmse
fig4g,M_rpy,0.05,2.0944,0.08607,10,rel_rmse
fig4g,M_rpy,0.075,3.2465,0.11672,10,rel_rmse
fig4g,M_rpy,0.1,4.0631,0.15848,10,rel_rmse
fig4g,M_rpy,0.125,5.1375,0.14688,10,rel_rmse
fig4g,M_rpy,0.15,6.0442,0.14609,10,rel_rmse
fig4g,M_rpy,0.175,6.9474,0.19963,10,rel_rmse
fig4g,M_rpy,0.2,7.855,0.25834,10,rel_rmse
fig4g,SD,0.025,2.1583,0.2233,10,rel_rmse
fig4g,SD,0.05,4.8822,0.34794,10,rel_rmse
fig4g,SD,0.075,8.812,0.25775,10,rel_rmse
fig4g,SD,0.1,11.874,0.48974,10,rel_rmse
fig4g,SD,0.125,15.257,0.3939,10,rel_rmse
fig4g,SD,0.15,18.917,0.37571,10,rel_rmse
fig4g,SD,0.175,22.132,0.4663,10,rel_rmse
fig4g,SD,0.2,25.182,0.42852,10,rel_rmse
fig4g,SD_Minf,0.025,0.078844,0.0088362,10,rel_rmse
fig4g,SD_Minf,0.05,0.13593,0.021507,10,rel_rmse
fig4g,SD_Minf,0.075,0.21844,0.015995,10,rel_rmse
fig4g,SD_Minf,0.1,0.27799,0.024568,10,rel_rmse
fig4g,SD_Minf,0.125,0.37462,0.02235,10,rel_rmse
fig4g,SD_Minf,0.15,0.51071,0.033594,10,rel_rmse
fig4g,SD_Minf,0.175,0.6318,0.047534,10,rel_rmse
fig4g,SD_Minf,0.2,0.78299,0.054776,10,rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.025,6.1728,1.7236,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.05,8.9271,2.1412,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.075,11.454,3.318,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.1,13.531,3.6186,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.125,17.458,6.2948,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.15,19.24,5.974,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.175,23.321,5.9417,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_diag,0.2,22.383,8.4731,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,3.2032,1.0875,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,3.8024,0.83565,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,4.731,1.2501,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,5.9596,1.4211,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,8.0682,2.6874,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,9.2264,2.6707,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,12.135,3.4961,10,max_rel_rmse
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,11.691,4.4902,10,max_rel_rmse
fig4,M_rpy,0.025,20.06,7.8065,10,max_rel_rmse
fig4,M_rpy,0.05,24.794,8.748,10,max_rel_rmse
fig4,M_rpy,0.075,29.45,7.9655,10,max_rel_rmse
fig4,M_rpy,0.1,37.997,6.4302,10,max_rel_rmse
fig4,M_rpy,0.125,46.804,13.121,10,max_rel_rmse
fig4,M_rpy,0.15,51.133,13.407,10,max_rel_rmse
fig4,M_rpy,0.175,61.973,14.395,10,max_rel_rmse
fig4,M_rpy,0.2,68.534,30.778,10,max_rel_rmse
fig4,SD,0.025,3.4877,0.86577,10,max_rel_rmse
fig4,SD,0.05,7.8284,1.201,10,max_rel_rmse
fig4,SD,0.075,13.781,3.2711,10,max_rel_rmse
fig4,SD,0.1,21.485,4.9514,10,max_rel_rmse
fig4,SD,0.125,22.204,2.6116,10,max_rel_rmse
fig4,SD,0.15,30.485,6.5719,10,max_rel_rmse
fig4,SD,0.175,33.166,8.4288,10,max_rel_rmse
fig4,SD,0.2,35.252,6.4664,10,max_rel_rmse
fig4,SD_Minf,0.025,9.5563,3.3325,10,max_rel_rmse
fig4,SD_Minf,0.05,10.049,4.0675,10,max_rel_rmse
fig4,SD_Minf,0.075,10.154,3.7364,10,max_rel_rmse
fig4,SD_Minf,0.1,11.361,2.1354,10,max_rel_rmse
fig4,SD_Minf,0.125,13.306,4.1431,10,max_rel_rmse
fig4,SD_Minf,0.15,16.045,7.8127,10,max_rel_rmse
fig4,SD_Minf,0.175,16.804,3.8747,10,max_rel_rmse
fig4,SD_Minf,0.2,17.684,8.2375,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.025,1.5139,0.32664,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.05,2.04,0.25133,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.075,2.7749,0.33169,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.1,3.0972,0.23467,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.125,3.6742,0.23258,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.15,4.2331,0.3452,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.175,5.1743,0.27219,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.2,6.6095,0.52673,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.54807,0.27589,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,0.59432,0.15171,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,0.77694,0.089205,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,0.97565,0.23468,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,1.0543,0.14338,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,1.1571,0.13084,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,1.3966,0.24952,10,max_rel_rmse
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,1.5415,0.31547,10,max_rel_rmse
fig4g,M_rpy,0.025,2.6254,0.25015,10,max_rel_rmse
fig4g,M_rpy,0.05,3.8909,0.27855,10,max_rel_rmse
fig4g,M_rpy,0.075,5.8748,0.33359,10,max_rel_rmse
fig4g,M_rpy,0.1,7.0933,0.45468,10,max_rel_rmse
fig4g,M_rpy,0.125,8.8184,0.46375,10,max_rel_rmse
fig4g,M_rpy,0.15,10.242,0.28814,10,max_rel_rmse
fig4g,M_rpy,0.175,11.938,0.67622,10,max_rel_rmse
fig4g,M_rpy,0.2,13.477,0.7517,10,max_rel_rmse
fig4g,SD,0.025,2.888,0.2647,10,max_rel_rmse
fig4g,SD,0.05,5.7911,0.41352,10,max_rel_rmse
fig4g,SD,0.075,10.007,0.29864,10,max_rel_rmse
fig4g,SD,0.1,13.176,0.65955,10,max_rel_rmse
fig4g,SD,0.125,16.579,0.52472,10,max_rel_rmse
fig4g,SD,0.15,20.31,0.42959,10,max_rel_rmse
fig4g,SD,0.175,23.698,0.4959,10,max_rel_rmse
fig4g,SD,0.2,26.717,0.47007,10,max_rel_rmse
fig4g,SD_Minf,0.025,0.37245,0.071709,10,max_rel_rmse
fig4g,SD_Minf,0.05,0.50619,0.10659,10,max_rel_rmse
fig4g,SD_Minf,0.075,0.67863,0.081632,10,max_rel_rmse
fig4g,SD_Minf,0.1,0.83665,0.17198,10,max_rel_rmse
fig4g,SD_Minf,0.125,0.87103,0.075134,10,max_rel_rmse
fig4g,SD_Minf,0.15,1.0572,0.090714,10,max_rel_rmse
fig4g,SD_Minf,0.175,1.3158,0.078418,10,max_rel_rmse
fig4g,SD_Minf,0.2,1.494,0.091986,10,max_rel_rmse
