op,N,phi,mean,std,n,expected,metric
HIGNN_2b,2500,0.05,1.785,0.016243,3,3,prmse_lin
HIGNN_2b,2500,0.1,3.5781,0.0085096,3,3,prmse_lin
HIGNN_2b,2500,0.15,5.4159,0.064884,3,3,prmse_lin
HIGNN_2b,3000,0.025,0.89092,0.0036481,3,3,prmse_lin
HIGNN_2b,3000,0.05,1.7609,0.037144,3,3,prmse_lin
HIGNN_2b,3000,0.1,3.5746,0.05516,3,3,prmse_lin
HIGNN_2b,3000,0.15,5.3758,0.022417,3,3,prmse_lin
HIGNN_2b,5000,0.025,0.88282,0.0064993,3,3,prmse_lin
HIGNN_2b,5000,0.05,1.7533,0.015089,3,3,prmse_lin
HIGNN_2b,5000,0.1,3.501,0.018767,3,3,prmse_lin
HIGNN_2b,5000,0.15,5.3325,0.0065123,3,3,prmse_lin
HIGNN_2b,7500,0.025,0.86748,0.011941,3,3,prmse_lin
HIGNN_2b,7500,0.05,1.7113,0.017401,3,3,prmse_lin
HIGNN_2b,7500,0.1,3.4922,0.023804,3,3,prmse_lin
HIGNN_2b,7500,0.15,5.2732,0.004645,3,3,prmse_lin
HIGNN_2b,10000,0.025,0.84759,0.0050941,3,3,prmse_lin
HIGNN_2b,10000,0.05,1.7121,0.0030322,3,3,prmse_lin
HIGNN_2b,10000,0.1,3.4433,0.0033676,3,3,prmse_lin
HIGNN_2b,10000,0.15,5.2678,0.01849,3,3,prmse_lin
HIGNN_2b,20000,0.1,3.4174,0.003365,2,2,prmse_lin
HIGNN_2b,30000,0.1,3.3974,0.004175,2,2,prmse_lin
HIGNN_full,20,0.025,1.2107,0.11971,10,10,prmse_lin
HIGNN_full,20,0.05,1.7178,0.43826,10,10,prmse_lin
HIGNN_full,20,0.1,1.9173,0.23511,10,10,prmse_lin
HIGNN_full,20,0.15,2.1415,0.26155,10,10,prmse_lin
HIGNN_full,30,0.025,1.1365,0.18928,10,10,prmse_lin
HIGNN_full,30,0.05,1.7815,0.1643,10,10,prmse_lin
HIGNN_full,30,0.1,2.7093,0.33981,10,10,prmse_lin
HIGNN_full,30,0.15,3.043,0.22054,10,10,prmse_lin
HIGNN_full,40,0.025,1.2259,0.17091,10,10,prmse_lin
HIGNN_full,40,0.05,1.9347,0.1876,10,10,prmse_lin
HIGNN_full,40,0.1,3.0448,0.24601,10,10,prmse_lin
HIGNN_full,40,0.15,3.8862,0.30049,10,10,prmse_lin
HIGNN_full,50,0.025,1.1004,0.12038,10,10,prmse_lin
HIGNN_full,50,0.05,1.9357,0.24432,10,10,prmse_lin
HIGNN_full,50,0.1,3.4774,0.32711,10,10,prmse_lin
HIGNN_full,50,0.15,4.1486,0.28309,10,10,prmse_lin
HIGNN_full,60,0.025,1.1057,0.2034,10,10,prmse_lin
HIGNN_full,60,0.05,1.9479,0.079791,10,10,prmse_lin
HIGNN_full,60,0.1,3.4463,0.22937,10,10,prmse_lin
HIGNN_full,60,0.15,4.5627,0.28991,10,10,prmse_lin
HIGNN_full,70,0.025,1.1014,0.11049,10,10,prmse_lin
HIGNN_full,70,0.05,1.9767,0.21067,10,10,prmse_lin
HIGNN_full,70,0.1,3.5321,0.26368,10,10,prmse_lin
HIGNN_full,70,0.15,4.6139,0.15709,10,10,prmse_lin
HIGNN_full,80,0.025,1.0434,0.079448,10,10,prmse_lin
HIGNN_full,80,0.05,1.9415,0.15536,10,10,prmse_lin
HIGNN_full,80,0.1,3.5882,0.22531,10,10,prmse_lin
HIGNN_full,80,0.15,4.8719,0.25563,10,10,prmse_lin
HIGNN_full,90,0.025,1.0148,0.077643,10,10,prmse_lin
HIGNN_full,90,0.05,2.1395,0.13554,10,10,prmse_lin
HIGNN_full,90,0.1,3.6983,0.17451,10,10,prmse_lin
HIGNN_full,90,0.15,4.9363,0.30395,10,10,prmse_lin
HIGNN_full,100,0.025,1.0723,0.15982,10,10,prmse_lin
HIGNN_full,100,0.05,1.9107,0.13104,10,10,prmse_lin
HIGNN_full,100,0.1,3.609,0.222,10,10,prmse_lin
HIGNN_full,100,0.15,4.9826,0.20748,10,10,prmse_lin
HIGNN_full,120,0.025,1.0412,0.088479,10,10,prmse_lin
HIGNN_full,120,0.05,2.0725,0.15762,10,10,prmse_lin
HIGNN_full,120,0.1,3.7876,0.21053,10,10,prmse_lin
HIGNN_full,120,0.15,5.2251,0.13785,10,10,prmse_lin
HIGNN_full,140,0.025,1.0431,0.088284,10,10,prmse_lin
HIGNN_full,140,0.05,1.989,0.12213,10,10,prmse_lin
HIGNN_full,140,0.1,3.8168,0.16256,10,10,prmse_lin
HIGNN_full,140,0.15,5.3251,0.20572,10,10,prmse_lin
HIGNN_full,160,0.025,1.0125,0.098652,10,10,prmse_lin
HIGNN_full,160,0.05,1.9212,0.12492,10,10,prmse_lin
HIGNN_full,160,0.1,3.7735,0.18068,10,10,prmse_lin
HIGNN_full,160,0.15,5.3266,0.21101,10,10,prmse_lin
HIGNN_full,180,0.025,1.0391,0.036327,10,10,prmse_lin
HIGNN_full,180,0.05,1.8733,0.10101,10,10,prmse_lin
HIGNN_full,180,0.1,3.748,0.11018,10,10,prmse_lin
HIGNN_full,180,0.15,5.3625,0.14682,10,10,prmse_lin
HIGNN_full,200,0.025,1.0134,0.071196,10,10,prmse_lin
HIGNN_full,200,0.05,1.9308,0.084564,10,10,prmse_lin
HIGNN_full,200,0.1,3.7402,0.1399,10,10,prmse_lin
HIGNN_full,200,0.15,5.4682,0.15245,10,10,prmse_lin
HIGNN_full,300,0.025,0.98197,0.054432,10,10,prmse_lin
HIGNN_full,300,0.05,1.9111,0.064488,10,10,prmse_lin
HIGNN_full,300,0.1,3.6892,0.1303,10,10,prmse_lin
HIGNN_full,300,0.15,5.4659,0.10322,10,10,prmse_lin
HIGNN_full,500,0.025,0.92541,0.026314,10,10,prmse_lin
HIGNN_full,500,0.05,1.8417,0.054987,10,10,prmse_lin
HIGNN_full,500,0.1,3.7512,0.12277,10,10,prmse_lin
HIGNN_full,500,0.15,5.394,0.0784,10,10,prmse_lin
HIGNN_full,1000,0.025,0.90806,0.013348,5,5,prmse_lin
HIGNN_full,1000,0.05,1.7842,0.031303,5,5,prmse_lin
HIGNN_full,1000,0.1,3.659,0.049624,5,5,prmse_lin
HIGNN_full,1000,0.15,5.4445,0.11395,5,5,prmse_lin
HIGNN_full,1500,0.025,0.88562,0.016097,5,5,prmse_lin
HIGNN_full,1500,0.05,1.7532,0.0083278,5,5,prmse_lin
HIGNN_full,1500,0.1,3.5647,0.048446,5,5,prmse_lin
HIGNN_full,1500,0.15,5.4128,0.033279,5,5,prmse_lin
HIGNN_full,2000,0.025,0.88306,0.021377,3,3,prmse_lin
HIGNN_full,2000,0.05,1.7785,0.024543,3,3,prmse_lin
HIGNN_full,2000,0.1,3.5295,0.05364,3,3,prmse_lin
HIGNN_full,2000,0.15,5.3871,0.023689,3,3,prmse_lin
HIGNN_full,2500,0.025,0.89074,0.0051674,3,3,prmse_lin
HIGNN_full,2500,0.05,1.7415,0.014692,3,3,prmse_lin
HIGNN_full,2500,0.1,3.5081,0.0088177,3,3,prmse_lin
HIGNN_full,2500,0.15,5.3163,0.061643,3,3,prmse_lin
HIGNN_full,3000,0.025,0.86423,0.0025962,3,3,prmse_lin
HIGNN_full,3000,0.05,1.7221,0.037686,3,3,prmse_lin
HIGNN_full,3000,0.1,3.5141,0.054657,3,3,prmse_lin
HIGNN_full,3000,0.15,5.2887,0.02261,3,3,prmse_lin
HIGNN_full,5000,0.025,0.86331,0.0061524,3,3,prmse_lin
HIGNN_full,5000,0.05,1.7259,0.014251,3,3,prmse_lin
HIGNN_full,5000,0.1,3.4587,0.018944,3,3,prmse_lin
HIGNN_full,5000,0.15,5.2724,0.0060789,3,3,prmse_lin
HIGNN_full,7500,0.025,0.85278,0.012154,3,3,prmse_lin
HIGNN_full,7500,0.05,1.6903,0.016918,3,3,prmse_lin
HIGNN_full,7500,0.1,3.4604,0.023468,3,3,prmse_lin
HIGNN_full,7500,0.15,5.228,0.0043314,3,3,prmse_lin
HIGNN_full,10000,0.025,0.83604,0.0051221,3,3,prmse_lin
HIGNN_full,10000,0.05,1.695,0.0028428,3,3,prmse_lin
HIGNN_full,10000,0.1,3.4169,0.0031523,3,3,prmse_lin
HIGNN_full,10000,0.15,5.2305,0.018525,3,3,prmse_lin
HIGNN_full,20000,0.1,3.4009,0.00341,2,2,prmse_lin
HIGNN_full,30000,0.1,3.385,0.00424,2,2,prmse_lin
M_2b,20,0.025,1.0713,0.13076,10,10,prmse_lin
M_2b,20,0.05,1.856,0.34615,10,10,prmse_lin
M_2b,20,0.1,3.0257,0.35792,10,10,prmse_lin
M_2b,20,0.15,4.3898,0.41885,10,10,prmse_lin
M_2b,30,0.025,1.0361,0.17317,10,10,prmse_lin
M_2b,30,0.05,1.7513,0.29278,10,10,prmse_lin
M_2b,30,0.1,3.2641,0.50675,10,10,prmse_lin
M_2b,30,0.15,4.472,0.34676,10,10,prmse_lin
M_2b,40,0.025,1.0873,0.11283,10,10,prmse_lin
M_2b,40,0.05,1.8177,0.19466,10,10,prmse_lin
M_2b,40,0.1,3.2267,0.32127,10,10,prmse_lin
M_2b,40,0.15,4.9805,0.40168,10,10,prmse_lin
M_2b,50,0.025,0.98672,0.10587,10,10,prmse_lin
M_2b,50,0.05,1.8471,0.22939,10,10,prmse_lin
M_2b,50,0.1,3.5643,0.30615,10,10,prmse_lin
M_2b,50,0.15,4.9168,0.25942,10,10,prmse_lin
M_2b,60,0.025,0.99968,0.18126,10,10,prmse_lin
M_2b,60,0.05,1.8296,0.11735,10,10,prmse_lin
M_2b,60,0.1,3.5236,0.30604,10,10,prmse_lin
M_2b,60,0.15,5.1263,0.40223,10,10,prmse_lin
M_2b,70,0.025,0.98969,0.10846,10,10,prmse_lin
M_2b,70,0.05,1.8647,0.19159,10,10,prmse_lin
M_2b,70,0.1,3.533,0.22831,10,10,prmse_lin
M_2b,70,0.15,5.0455,0.22523,10,10,prmse_lin
M_2b,80,0.025,0.96736,0.10413,10,10,prmse_lin
M_2b,80,0.05,1.8346,0.16491,10,10,prmse_lin
M_2b,80,0.1,3.5633,0.24715,10,10,prmse_lin
M_2b,80,0.15,5.2158,0.30324,10,10,prmse_lin
M_2b,90,0.025,0.93742,0.088203,10,10,prmse_lin
M_2b,90,0.05,2.0142,0.12822,10,10,prmse_lin
M_2b,90,0.1,3.6561,0.18344,10,10,prmse_lin
M_2b,90,0.15,5.1927,0.33715,10,10,prmse_lin
M_2b,100,0.025,0.97657,0.1484,10,10,prmse_lin
M_2b,100,0.05,1.7583,0.11144,10,10,prmse_lin
M_2b,100,0.1,3.5565,0.18858,10,10,prmse_lin
M_2b,100,0.15,5.1831,0.25318,10,10,prmse_lin
M_2b,120,0.025,0.95317,0.090802,10,10,prmse_lin
M_2b,120,0.05,1.9486,0.14645,10,10,prmse_lin
M_2b,120,0.1,3.7051,0.20547,10,10,prmse_lin
M_2b,120,0.15,5.3101,0.176,10,10,prmse_lin
M_2b,140,0.025,0.96965,0.080939,10,10,prmse_lin
M_2b,140,0.05,1.8623,0.1109,10,10,prmse_lin
M_2b,140,0.1,3.683,0.15226,10,10,prmse_lin
M_2b,140,0.15,5.3972,0.22052,10,10,prmse_lin
M_2b,160,0.025,0.95022,0.095577,10,10,prmse_lin
M_2b,160,0.05,1.7987,0.11919,10,10,prmse_lin
M_2b,160,0.1,3.6713,0.16436,10,10,prmse_lin
M_2b,160,0.15,5.3334,0.21481,10,10,prmse_lin
M_2b,180,0.025,0.97199,0.04303,10,10,prmse_lin
M_2b,180,0.05,1.7661,0.092234,10,10,prmse_lin
M_2b,180,0.1,3.6029,0.10134,10,10,prmse_lin
M_2b,180,0.15,5.3247,0.16051,10,10,prmse_lin
M_2b,200,0.025,0.95379,0.065891,10,10,prmse_lin
M_2b,200,0.05,1.823,0.082422,10,10,prmse_lin
M_2b,200,0.1,3.6064,0.14776,10,10,prmse_lin
M_2b,200,0.15,5.4129,0.14197,10,10,prmse_lin
M_2b,300,0.025,0.94037,0.055042,10,10,prmse_lin
M_2b,300,0.05,1.8251,0.063379,10,10,prmse_lin
M_2b,300,0.1,3.5625,0.12922,10,10,prmse_lin
M_2b,300,0.15,5.3805,0.10014,10,10,prmse_lin
M_3b,20,0.025,0.70275,0.13822,10,10,prmse_lin
M_3b,20,0.05,1.0895,0.19478,10,10,prmse_lin
M_3b,20,0.1,1.3789,0.24523,10,10,prmse_lin
M_3b,20,0.15,1.7304,0.10312,10,10,prmse_lin
M_3b,30,0.025,0.75979,0.094011,10,10,prmse_lin
M_3b,30,0.05,1.0538,0.10856,10,10,prmse_lin
M_3b,30,0.1,1.6575,0.27652,10,10,prmse_lin
M_3b,30,0.15,2.0235,0.22789,10,10,prmse_lin
M_3b,40,0.025,0.84375,0.07707,10,10,prmse_lin
M_3b,40,0.05,1.2676,0.11771,10,10,prmse_lin
M_3b,40,0.1,1.8455,0.19838,10,10,prmse_lin
M_3b,40,0.15,2.3579,0.17565,10,10,prmse_lin
M_3b,50,0.025,0.8034,0.10696,10,10,prmse_lin
M_3b,50,0.05,1.3304,0.19055,10,10,prmse_lin
M_3b,50,0.1,2.0118,0.15682,10,10,prmse_lin
M_3b,50,0.15,2.4414,0.18235,10,10,prmse_lin
M_3b,60,0.025,0.82666,0.11398,10,10,prmse_lin
M_3b,60,0.05,1.3353,0.073876,10,10,prmse_lin
M_3b,60,0.1,2.0597,0.15458,10,10,prmse_lin
M_3b,60,0.15,2.7207,0.22259,10,10,prmse_lin
M_3b,70,0.025,0.83301,0.07412,10,10,prmse_lin
M_3b,70,0.05,1.3544,0.12896,10,10,prmse_lin
M_3b,70,0.1,2.1172,0.15072,10,10,prmse_lin
M_3b,70,0.15,2.6692,0.13343,10,10,prmse_lin
M_3b,80,0.025,0.80955,0.05649,10,10,prmse_lin
M_3b,80,0.05,1.4154,0.1158,10,10,prmse_lin
M_3b,80,0.1,2.2463,0.14731,10,10,prmse_lin
M_3b,80,0.15,2.8716,0.1385,10,10,prmse_lin
M_3b,90,0.025,0.79662,0.062039,10,10,prmse_lin
M_3b,90,0.05,1.5439,0.11115,10,10,prmse_lin
M_3b,90,0.1,2.4021,0.094563,10,10,prmse_lin
M_3b,90,0.15,2.9774,0.14903,10,10,prmse_lin
M_3b,100,0.025,0.85218,0.12221,10,10,prmse_lin
M_3b,100,0.05,1.3718,0.071601,10,10,prmse_lin
M_3b,100,0.1,2.4117,0.11949,10,10,prmse_lin
M_3b,100,0.15,3.0381,0.15008,10,10,prmse_lin
M_3b,120,0.025,0.82657,0.07153,10,10,prmse_lin
M_3b,120,0.05,1.5716,0.11389,10,10,prmse_lin
M_3b,120,0.1,2.5618,0.081926,10,10,prmse_lin
M_3b,120,0.15,3.3468,0.11867,10,10,prmse_lin
M_3b,140,0.025,0.8701,0.066817,10,10,prmse_lin
M_3b,140,0.05,1.5498,0.070831,10,10,prmse_lin
M_3b,140,0.1,2.6924,0.14246,10,10,prmse_lin
M_3b,140,0.15,3.4734,0.11504,10,10,prmse_lin
M_3b,160,0.025,0.85638,0.074265,10,10,prmse_lin
M_3b,160,0.05,1.5321,0.092786,10,10,prmse_lin
M_3b,160,0.1,2.7372,0.097895,10,10,prmse_lin
M_3b,160,0.15,3.5555,0.12849,10,10,prmse_lin
M_3b,180,0.025,0.87891,0.039966,10,10,prmse_lin
M_3b,180,0.05,1.5152,0.087368,10,10,prmse_lin
M_3b,180,0.1,2.7584,0.091161,10,10,prmse_lin
M_3b,180,0.15,3.7067,0.097101,10,10,prmse_lin
M_3b,200,0.025,0.86244,0.05715,10,10,prmse_lin
M_3b,200,0.05,1.5701,0.074521,10,10,prmse_lin
M_3b,200,0.1,2.7764,0.090478,10,10,prmse_lin
M_3b,200,0.15,3.8094,0.1344,10,10,prmse_lin
M_3b,300,0.025,0.86894,0.047329,10,10,prmse_lin
M_3b,300,0.05,1.6301,0.059063,10,10,prmse_lin
M_3b,300,0.1,2.9395,0.10985,10,10,prmse_lin
M_3b,300,0.15,4.0979,0.089829,10,10,prmse_lin
M_nbody_b1,20,0.025,0.69015,0.12583,10,10,prmse_lin
M_nbody_b1,20,0.05,1.1015,0.20381,10,10,prmse_lin
M_nbody_b1,20,0.1,1.4834,0.23526,10,10,prmse_lin
M_nbody_b1,20,0.15,2.3112,0.33078,10,10,prmse_lin
M_nbody_b1,30,0.025,0.72727,0.079556,10,10,prmse_lin
M_nbody_b1,30,0.05,1.0722,0.18956,10,10,prmse_lin
M_nbody_b1,30,0.1,1.9635,0.35965,10,10,prmse_lin
M_nbody_b1,30,0.15,2.9053,0.31805,10,10,prmse_lin
M_nbody_b1,40,0.025,0.82213,0.080716,10,10,prmse_lin
M_nbody_b1,40,0.05,1.2202,0.13382,10,10,prmse_lin
M_nbody_b1,40,0.1,2.1684,0.24927,10,10,prmse_lin
M_nbody_b1,40,0.15,3.5128,0.30394,10,10,prmse_lin
M_nbody_b1,50,0.025,0.77974,0.09663,10,10,prmse_lin
M_nbody_b1,50,0.05,1.299,0.20456,10,10,prmse_lin
M_nbody_b1,50,0.1,2.5717,0.28567,10,10,prmse_lin
M_nbody_b1,50,0.15,3.7265,0.24615,10,10,prmse_lin
M_nbody_b1,60,0.025,0.80765,0.11515,10,10,prmse_lin
M_nbody_b1,60,0.05,1.3115,0.072819,10,10,prmse_lin
M_nbody_b1,60,0.1,2.5946,0.25912,10,10,prmse_lin
M_nbody_b1,60,0.15,4.0984,0.33042,10,10,prmse_lin
M_nbody_b1,70,0.025,0.81199,0.078121,10,10,prmse_lin
M_nbody_b1,70,0.05,1.3483,0.15178,10,10,prmse_lin
M_nbody_b1,70,0.1,2.6561,0.222,10,10,prmse_lin
M_nbody_b1,70,0.15,4.1086,0.20877,10,10,prmse_lin
M_nbody_b1,80,0.025,0.79284,0.065838,10,10,prmse_lin
M_nbody_b1,80,0.05,1.3776,0.12784,10,10,prmse_lin
M_nbody_b1,80,0.1,2.7668,0.23567,10,10,prmse_lin
M_nbody_b1,80,0.15,4.309,0.28839,10,10,prmse_lin
M_nbody_b1,90,0.025,0.78129,0.069562,10,10,prmse_lin
M_nbody_b1,90,0.05,1.5228,0.11285,10,10,prmse_lin
M_nbody_b1,90,0.1,2.9271,0.16546,10,10,prmse_lin
M_nbody_b1,90,0.15,4.3952,0.34718,10,10,prmse_lin
M_nbody_b1,100,0.025,0.83527,0.1185,10,10,prmse_lin
M_nbody_b1,100,0.05,1.3619,0.090203,10,10,prmse_lin
M_nbody_b1,100,0.1,2.8686,0.19105,10,10,prmse_lin
M_nbody_b1,100,0.15,4.4053,0.25169,10,10,prmse_lin
M_nbody_b1,120,0.025,0.81366,0.068143,10,10,prmse_lin
M_nbody_b1,120,0.05,1.5593,0.12125,10,10,prmse_lin
M_nbody_b1,120,0.1,3.0674,0.20251,10,10,prmse_lin
M_nbody_b1,120,0.15,4.6269,0.17365,10,10,prmse_lin
M_nbody_b1,140,0.025,0.85742,0.064662,10,10,prmse_lin
M_nbody_b1,140,0.05,1.5253,0.085604,10,10,prmse_lin
M_nbody_b1,140,0.1,3.1252,0.14883,10,10,prmse_lin
M_nbody_b1,140,0.15,4.7745,0.23109,10,10,prmse_lin
M_nbody_b1,160,0.025,0.84004,0.075303,10,10,prmse_lin
M_nbody_b1,160,0.05,1.5085,0.10117,10,10,prmse_lin
M_nbody_b1,160,0.1,3.1345,0.15807,10,10,prmse_lin
M_nbody_b1,160,0.15,4.7813,0.1993,10,10,prmse_lin
M_nbody_b1,180,0.025,0.86564,0.042402,10,10,prmse_lin
M_nbody_b1,180,0.05,1.4831,0.08817,10,10,prmse_lin
M_nbody_b1,180,0.1,3.1334,0.10243,10,10,prmse_lin
M_nbody_b1,180,0.15,4.7912,0.16309,10,10,prmse_lin
M_nbody_b1,200,0.025,0.84895,0.059973,10,10,prmse_lin
M_nbody_b1,200,0.05,1.5515,0.07668,10,10,prmse_lin
M_nbody_b1,200,0.1,3.1488,0.14391,10,10,prmse_lin
M_nbody_b1,200,0.15,4.9199,0.15902,10,10,prmse_lin
M_nbody_b1,300,0.025,0.85827,0.045366,10,10,prmse_lin
M_nbody_b1,300,0.05,1.6151,0.06015,10,10,prmse_lin
M_nbody_b1,300,0.1,3.2035,0.1301,10,10,prmse_lin
M_nbody_b1,300,0.15,4.9946,0.10192,10,10,prmse_lin
M_rpy,20,0.025,1.8264,0.17235,10,10,prmse_lin
M_rpy,20,0.05,2.8072,0.45924,10,10,prmse_lin
M_rpy,20,0.1,4.5988,0.51071,10,10,prmse_lin
M_rpy,20,0.15,6.3787,0.53193,10,10,prmse_lin
M_rpy,30,0.025,1.6043,0.21813,10,10,prmse_lin
M_rpy,30,0.05,2.595,0.42303,10,10,prmse_lin
M_rpy,30,0.1,4.5183,0.59145,10,10,prmse_lin
M_rpy,30,0.15,6.0513,0.38508,10,10,prmse_lin
M_rpy,40,0.025,1.5665,0.14305,10,10,prmse_lin
M_rpy,40,0.05,2.4581,0.23237,10,10,prmse_lin
M_rpy,40,0.1,4.2143,0.36728,10,10,prmse_lin
M_rpy,40,0.15,6.3933,0.42689,10,10,prmse_lin
M_rpy,50,0.025,1.3947,0.13544,10,10,prmse_lin
M_rpy,50,0.05,2.4095,0.29294,10,10,prmse_lin
M_rpy,50,0.1,4.5115,0.35126,10,10,prmse_lin
M_rpy,50,0.15,6.148,0.26558,10,10,prmse_lin
M_rpy,60,0.025,1.3428,0.23208,10,10,prmse_lin
M_rpy,60,0.05,2.3751,0.14755,10,10,prmse_lin
M_rpy,60,0.1,4.4051,0.337,10,10,prmse_lin
M_rpy,60,0.15,6.2371,0.41962,10,10,prmse_lin
M_rpy,70,0.025,1.3157,0.1439,10,10,prmse_lin
M_rpy,70,0.05,2.3747,0.21834,10,10,prmse_lin
M_rpy,70,0.1,4.3192,0.25464,10,10,prmse_lin
M_rpy,70,0.15,6.0722,0.25767,10,10,prmse_lin
M_rpy,80,0.025,1.2667,0.15613,10,10,prmse_lin
M_rpy,80,0.05,2.2719,0.17752,10,10,prmse_lin
M_rpy,80,0.1,4.2853,0.26981,10,10,prmse_lin
M_rpy,80,0.15,6.1812,0.34534,10,10,prmse_lin
