op,t,fallen,settle_rel_err,pos_err,shape_err,rot_err_deg,rot_err_rel
nemo,0.0,-0.0,0.0007907823098379876,0.0,0.0,0.0,0.0
nemo,5.0,0.6665900728717076,0.0008150951491057125,0.0005654729977251383,0.0002935025402520075,0.23414176452833543,0.15582458956255188
nemo,10.0,1.3331785430243097,0.0008404185892813491,0.0011497734657139583,0.0005981811908492417,0.4684976670262127,0.1558928123988395
nemo,15.0,1.9997637297824848,0.0008757526281713272,0.0017579281281703309,0.0009137646706966325,0.7030958547712113,0.1559646896681151
nemo,20.0,2.666343793852048,0.0009176953429516326,0.0024110003961511695,0.0012426535899567768,0.9380169974979866,0.15604949145033703
nemo,25.0,3.3329166514110553,0.0009677182618718775,0.0031842160669310355,0.0016093670534405044,1.1733331032581056,0.15614779803480544
nemo,30.0,3.999479847281083,0.001027086904429884,0.004035281501282428,0.0020932113994593694,1.4091179377980307,0.15626001508047588
nemo,35.0,4.666030591056489,0.0010960062230907994,0.004969922454643254,0.002637568313746907,1.6454443565786487,0.15638626569148664
nemo,40.0,5.332565575074125,0.0011747439894423078,0.005993707739536925,0.0032459119197829726,1.8823846664022643,0.1565265802822298
nemo,45.0,5.999080902624924,0.0012640259427527678,0.007112062619810063,0.003920835344555698,2.120010720838175,0.1566809818469408
nemo,50.0,6.665571993362114,0.0013603022594195486,0.00832985501780528,0.004663319021109076,2.358370033615883,0.15684788798341662
nemo,55.0,7.33203348856753,0.0014575775001175522,0.009645825204232796,0.005468454369046242,2.5971314278315116,0.15700343614158926
nemo,60.0,7.998459152120668,0.0016247465054289886,0.01106424096661171,0.0063251764761494715,2.8360949019717285,0.15713902462856028
nemo,65.0,8.664841830646475,0.0018123037421906533,0.012594680494472406,0.007221796653686965,3.0750484100957203,0.15724811563348462
nemo,70.0,9.331173302715145,0.001977428204251337,0.014232497648117466,0.008162049783204513,3.3140586381506965,0.15733930259328363
nemo,75.0,9.997444113509468,0.0021570511254521106,0.015972083997363346,0.009144257829111607,3.5532090863374712,0.15741967260754136
nemo,80.0,10.663643624265966,0.00235142822556485,0.01781890464387378,0.010165582505371999,3.792638754731053,0.15749688335129272
nemo,85.0,11.329759806652197,0.002560396875112007,0.019778147520440704,0.011222941512620684,4.032489983870643,0.15757692841803345
nemo,90.0,11.995779085763784,0.0027836016558155942,0.021854556473639698,0.012312846056006339,4.272907349005604,0.15766456939454104
nemo,95.0,12.661686257962943,0.0030209900833325877,0.024052495949528314,0.013431648615931276,4.514035305392009,0.15776357255028398
nemo,100.0,13.327464401247298,0.0032722043905865092,0.026375810215104167,0.01457546879225533,4.756017357089513,0.15787693461740784
nemo,105.0,13.993094767691948,0.0035267208558639974,0.028820018926428062,0.01573314294169117,4.998946107046126,0.158005479836074
nemo,110.0,14.658556544065569,0.0037729868405437703,0.03136340603903501,0.01689465497408889,5.242627035798156,0.1581412203854607
nemo,115.0,15.323826812422078,0.004020959073748219,0.034007641508039484,0.0180669424401211,5.487309143744574,0.1582903309576991
nemo,120.0,15.98888045161056,0.00425672408847832,0.03675428452909909,0.019262723860286064,5.733399755905393,0.15846234462705072
nemo,125.0,16.65368989427535,0.004460897737569669,0.03960189246852957,0.020499566175871207,5.981132121409037,0.15866062225648858
nemo,130.0,17.318225154011937,0.0046519364637782395,0.04255051133269172,0.021796742596782482,6.230718872920886,0.15888744118358797
nemo,135.0,17.982453409832257,0.004826377210783634,0.045602550270089616,0.023173853233082176,6.482343848102261,0.1591439991418825
nemo,140.0,18.646339255211156,0.004978630729607055,0.04876169271200229,0.02465137422596049,6.736140725015706,0.15943007745631008
nemo,145.0,19.30984421056768,0.005104810054723103,0.05203368156269014,0.026251226668236417,6.992165610177572,0.15974365235278618
nemo,150.0,19.97292686018677,0.005134918097173335,0.05541813136328468,0.027997309941421373,7.250406087255459,0.1600813857721526
nemo,155.0,20.635542790009577,0.004920606630722309,0.05886654590114656,0.029945289274133608,7.51164811323044,0.16045731801902924
nemo,160.0,21.29764430108086,0.004675814708234433,0.06236216462497993,0.032146196437355244,7.776260641920152,0.16087498583265478
nemo,165.0,21.959180819405404,0.004440665682023061,0.06594428268394895,0.03462060053368277,8.043330882942367,0.16131166952394532
rpy,0.0,-0.0,0.03639910812720479,0.0,0.0,0.0,0.0
rpy,5.0,0.6665900728717076,0.036424679910352906,0.024347877420086293,0.0026943264300292088,0.4216297123717537,0.28060041748662223
rpy,10.0,1.3331785430243097,0.03650183821357149,0.04873036248998271,0.005406663786871393,0.8437458711146745,0.2807568234712596
rpy,15.0,1.9997637297824848,0.03663002912498565,0.07318202532366247,0.008155528505818127,1.2668168538208389,0.2810124624284659
rpy,20.0,2.666343793852048,0.03680949861972733,0.09773737793609867,0.010960693430602518,1.6913277777173927,0.28137106288331865
rpy,25.0,3.3329166514110553,0.03703993927195765,0.12243083291896452,0.013843422182800408,2.1177529200722165,0.2818316932615457
rpy,30.0,3.999479847281083,0.03732126267764452,0.14729670509199969,0.016826632404274577,2.54656095862426,0.2823934343067121
rpy,35.0,4.666030591056489,0.037653139899847865,0.1723690391005478,0.01993467554058212,2.978212663488698,0.2830551850726358
rpy,40.0,5.332565575074125,0.03803521870295136,0.19768163945586759,0.02319279007003658,3.413159521624916,0.2838156288739714
rpy,45.0,5.999080902624924,0.038466731147067966,0.22326797429356293,0.02662622545037058,3.8518414881749408,0.2846732331841348
rpy,50.0,6.665571993362114,0.03894745502004649,0.2491610842661799,0.030259282559981907,4.2946848991585025,0.2856261936785606
rpy,55.0,7.33203348856753,0.0394767716293982,0.2753934703105895,0.03411436623927303,4.742098435536481,0.2866723420010084
rpy,60.0,7.998459152120668,0.040052931777047274,0.30199696467309695,0.038211371094634,5.194472007237987,0.28780922109138707
rpy,65.0,8.664841830646475,0.040675598825508044,0.32900252006939074,0.04270567438564323,5.652170884654772,0.28903389550954817
rpy,70.0,9.331173302715145,0.0413431243449343,0.3564400898820243,0.04831919847192437,6.115535999736992,0.29034313337306267
rpy,75.0,9.997444113509468,0.04205359936818585,0.38433849818148863,0.05434914607328459,6.58487432390524,0.29173311647118655
rpy,80.0,10.663643624265966,0.04280532354835532,0.41272509420517484,0.06080127860916149,7.06045645599276,0.2931995264429629
rpy,85.0,11.329759806652197,0.04359627431162582,0.4416256271254819,0.06767871743311672,7.542513577922594,0.29473752617223625
rpy,90.0,11.995779085763784,0.044424261892181044,0.4710640668495552,0.07498210155901391,8.031231824830385,0.29634171863433884
rpy,95.0,12.661686257962943,0.04528652437492946,0.5010624128724261,0.0827096988717708,8.526747249537411,0.29800611145275663
rpy,100.0,13.327464401247298,0.046180234520943365,0.5316405013830988,0.09085742121718748,9.029142181057784,0.29972415631436683
rpy,105.0,13.993094767691948,0.047103570792402426,0.5628158998097587,0.09941876570286423,9.538443531776188,0.3014888168134609
rpy,110.0,14.658556544065569,0.04805361079982317,0.5946040229629982,0.10838473498863439,10.05461604051388,0.3032924601152786
rpy,115.0,15.323826812422078,0.0490287398575054,0.6270181916339472,0.11774367288379317,10.577560235217481,0.30512687849312653
rpy,120.0,15.98888045161056,0.050028487114734926,0.6600699272724816,0.12748117347866963,11.107117228781872,0.3069836245601794
rpy,125.0,16.65368989427535,0.05105189420367048,0.693769672572942,0.13757992919305875,11.643074735751895,0.3088541508623304
2b,0.0,-0.0,0.009456902437226071,0.0,0.0,0.0,0.0
2b,5.0,0.6665900728717076,0.009489587977158055,0.008675040923052867,0.006691157480364967,0.36217795115894263,0.24103444638181318
2b,10.0,1.3331785430243097,0.009587835593879426,0.01740206635983757,0.013406239343066643,0.7249063168272704,0.24121290757583333
2b,15.0,1.9997637297824848,0.009750372346539441,0.026232323506085703,0.020169004519430635,1.0887126517819201,0.24150438339331604
2b,20.0,2.666343793852048,0.009976242713541703,0.03521593287622115,0.027003237275676894,1.454132130805579,0.24191094630381957
2b,25.0,3.3329166514110553,0.010263888732222103,0.044401286888368835,0.03393257650005568,1.8216752191034822,0.24242951418290298
2b,30.0,3.999479847281083,0.010611677977491994,0.0538347685113443,0.04098054947648261,2.1918293650164764,0.24305651105861825
2b,35.0,4.666030591056489,0.011018224746264826,0.06356051399887745,0.04817061233243434,2.5650536564129798,0.24378774099587483
2b,40.0,5.332565575074125,0.01148222590822561,0.07362051150345861,0.05552623907459047,2.941775113817279,0.24461843891092597
2b,45.0,5.999080902624924,0.012002639691951584,0.08405472923363917,0.06307102589854818,3.3223856351708676,0.24554340139701525
2b,50.0,6.665571993362114,0.012579709043555128,0.0949014396842084,0.07082885235820117,3.7072402605802517,0.2465570698536998
2b,55.0,7.33203348856753,0.01321394577108882,0.10619754238714679,0.07882398617174842,4.096654897855077,0.2476535799293578
2b,60.0,7.998459152120668,0.01390493374004869,0.1179787855334178,0.08708120078769412,4.490906401570929,0.24882688204488307
2b,65.0,8.664841830646475,0.014653559007876326,0.130279693848458,0.09562569996389995,4.890225368282027,0.25007044495975117
2b,70.0,9.331173302715145,0.015457917408189024,0.14313304585322315,0.1044828791739203,5.294784532995548,0.2513768755365465
2b,75.0,9.997444113509468,0.01631299198607743,0.15656844445303753,0.11367759540030635,5.704653080129762,0.252736216302791
2b,80.0,10.663643624265966,0.01720878003997928,0.17060950363592067,0.12323271880520399,6.119714188857137,0.25413332881845524
2b,85.0,11.329759806652197,0.01812798208838418,0.18526948503835663,0.13316651145037126,6.53951372457603,0.2555434707061931
2b,90.0,11.995779085763784,0.01904660132424316,0.2005455295741161,0.14348834758666798,6.963034684844428,0.2569266720751007
2b,95.0,12.661686257962943,0.019939389601538574,0.21641373719907323,0.1541933025132666,7.388466685977531,0.2582237003455042
