backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha,label,mac,max_leaf,pdeg,fp32_level,hilbert_q,pair_budget_gb
widebvh,1047968,20,0.2,382.008,11.814,620.494,1491.136,2124.26,2507.242,20568048,2507.274,232.139,126894840.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,21,0.21,380.769,11.699,615.144,1477.781,2105.42,2487.166,20385216,2487.199,231.562,128239168.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,22,0.22,379.196,11.651,612.98,1462.951,2088.423,2468.6,20206850,2468.631,230.973,129684416.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,23,0.23,377.84,11.429,608.095,1445.324,2065.645,2444.446,20036048,2444.478,230.372,131272936.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,24,0.24,380.454,11.459,602.767,1437.854,2052.891,2434.728,19874712,2434.759,229.763,132824552.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,25,0.25,378.794,11.467,595.681,1426.382,2034.307,2414.037,19727530,2414.069,229.147,134298064.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,26,0.26,389.202,11.355,593.543,1418.703,2024.37,2414.556,19596552,2414.596,228.526,135702112.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,27,0.27,388.512,11.439,592.857,1414.75,2019.799,2409.298,19489908,2409.334,227.904,137046224.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,28,0.28,389.426,11.375,587.983,1408.461,2008.577,2398.967,19411328,2399.001,227.282,138523392.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,29,0.29,394.059,11.197,586.926,1408.099,2006.963,2402.016,19373300,2402.05,226.662,140162368.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
