backend,n,mac,pdeg,max_leaf,near_cutoff,loading,far_ms,far_ms_std,far_updates_per_sec,far_repeats,near_pairs,num_nodes,num_source_buckets,traverse_ms,p2p_ms,build_ms,upward_ms,rel_far,rel_total,ref_samples,ref_cutoff,ref_s,rel_asym,rel_asym_stderr,fro_asym,fro_M,hutch_K,hutch_seed,hutch_wall_s,nbody_num_pairs,pair_chunk_size,nbody_chunks,peak_vram_gb,compile_disabled,gpu,git_sha
widebvh,5000,0.8,7,1024,6.0,random,7.204044818878174,0.021794677778246386,694054.5382085239,7,77225,2280,1140,1.0343680381774902,0.04064000025391579,4.914201,0.579306,0.00036919932366985325,0.0003209347920526835,2048,6.0,0.09549554996192455,0.0002560059883768988,3.773182994355248e-05,0.005104612918080485,19.93942778621779,24,2,0.33485425915569067,100650,8000000,1,0.28438663482666016,1,NVIDIA H200,ac78eb4
widebvh,10000,0.8,7,1024,6.0,random,7.220134449005127,0.020125317984889507,1385015.7598350423,7,131340,2418,1209,1.2516800165176392,0.06252799928188324,4.685212,0.628967,0.0002374589565465525,0.00022673623340102808,2048,6.0,0.0023236973211169243,0.0003226151948501474,4.4605839031028646e-05,0.009661640321889622,29.947877459328563,24,2,0.4157668650150299,203408,8000000,1,0.5361385345458984,1,NVIDIA H200,ac78eb4
widebvh,50000,0.8,7,1024,6.0,random,10.465260696411132,0.02138006010935681,4777711.845931041,7,422264,2614,1307,3.43939208984375,0.2587839961051941,5.11625,0.912805,0.00033782125640486195,0.00032593541751796445,2048,6.0,0.0029636630788445473,0.00041210125543960247,5.797334879997832e-05,0.03748279669691142,90.95530819707706,24,2,1.142305520363152,1034974,8000000,1,2.593660354614258,1,NVIDIA H200,ac78eb4
widebvh,100000,0.8,7,1024,6.0,random,14.389484786987305,0.025302805402254203,6949519.144037177,7,708498,2632,1316,6.179423809051514,0.5076799988746643,5.359488,1.200443,0.0003853436958712262,0.0003711819614478635,2048,6.0,0.004131895489990711,0.00041242108169607514,6.028526502247215e-05,0.06112217267399267,148.20331788721543,24,2,2.066763596609235,2074980,8000000,1,5.160473823547363,1,NVIDIA H200,ac78eb4
widebvh,200000,0.8,7,1024,6.0,random,22.102707290649413,0.010508692993220875,9048665.277516041,7,1211637,2650,1325,11.964863777160645,1.150048017501831,6.012525,1.80786,0.000504654587301793,0.0004807854961652034,2048,6.0,0.006555890664458275,0.00037990098089382885,5.1728394297022384e-05,0.10237922555483864,269.48923720586714,24,2,3.8732853503897786,4158018,8000000,1,10.294216632843018,1,NVIDIA H200,ac78eb4
widebvh,300000,0.8,7,1024,6.0,random,30.007328033447266,0.020429874557722348,9997557.918706024,7,1688199,2656,1328,17.841951370239258,2.114176034927368,6.395242,2.489235,0.0003682089041008883,0.00036107250479837843,2048,6.0,0.009490353986620903,0.00039971749906090367,5.110783366657019e-05,0.12691940286042105,317.52275834459465,24,2,5.697435553185642,6242502,8000000,1,15.432579040527344,1,NVIDIA H200,ac78eb4
widebvh,400000,0.8,7,1024,6.0,random,37.821466064453126,0.02699546731759672,10576004.624419989,7,2139921,2660,1330,23.770463943481445,3.188960075378418,6.455733,3.067702,0.000254485564437538,0.000252381608119452,2048,6.0,0.04243218060582876,0.00042091545815551353,6.121217443938211e-05,0.15712519997375635,373.29396421384,24,2,7.53393967077136,8333306,8000000,2,19.803961277008057,1,NVIDIA H200,ac78eb4
widebvh,500000,0.8,7,1024,6.0,random,46.25208358764648,0.022203749241785014,10810323.799845971,7,2575612,2660,1330,29.771968841552734,4.6503682136535645,6.5632909999999995,3.708268,0.0003305745196975563,0.0003262242205052974,2048,6.0,0.07788295391947031,0.00044618020087345693,5.757992327837401e-05,0.18770444788485904,420.69201528306877,24,2,9.378991413861513,10428696,8000000,2,19.993031978607178,1,NVIDIA H200,ac78eb4
widebvh,750000,0.8,7,1024,6.0,random,67.6328842163086,0.022248853151461478,11089280.143684149,7,3811566,2660,1330,44.355072021484375,9.417119979858398,6.86784,5.326648,0.0003300207076788213,0.0003251953342995053,2048,6.0,0.17040446307510138,0.000429768630136546,5.9875737288926104e-05,0.24929467341420433,580.0671708751718,24,2,14.009028625674546,15649214,8000000,2,20.465514183044434,1,NVIDIA H200,ac78eb4
widebvh,1000000,0.8,7,1024,6.0,random,90.91970520019531,0.024551177560313053,10998715.820713548,7,5075299,2670,1335,59.000736236572266,16.09337615966797,7.012459,6.907389,0.00022685073808730542,0.00022561239444203668,2048,6.0,0.2634599795565009,0.0004610356025747301,6.514769088022723e-05,0.2961212382000607,642.2958152175718,24,2,18.693462485447526,20881556,8000000,3,21.120420932769775,1,NVIDIA H200,ac78eb4
widebvh,2000000,0.8,7,1024,6.0,random,191.1023681640625,0.08196699168784101,10465595.05889005,7,10132805,6056,3028,134.7250518798828,33.042816162109375,9.610889,11.227554,0.00023029341365755766,0.00022894722347260928,2048,6.0,0.7267841314896941,0.0003979448143016929,5.923708389026521e-05,0.456107609012211,1146.1579410516536,24,2,37.682182950899005,41834006,8000000,6,30.407589435577393,1,NVIDIA H200,ac78eb4
widebvh,4000000,0.8,7,1024,6.0,random,402.76673583984376,3.7121960463647468,9931306.744235603,7,20149486,11520,5760,300.8963623046875,66.8796157836914,10.778969,18.691635,0.000373187240229828,0.00036997724902903607,2048,6.0,1.3490260178223252,0.0004216168910125131,6.408145495159584e-05,0.7689249500644019,1823.75271592613,24,2,76.17819933965802,83721698,8000000,11,60.81787633895874,1,NVIDIA H200,ac78eb4
