kernel,batch,mode,protocol,n_warmup,n_iter,throughput_per_sec,dtype,matmul_precision,peak_vram_gb,gpu,torch_version,git_sha
ft,32768,compile,published,1,3,82330556.42956783,float32,high,0.04227495193481445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,65536,compile,published,1,3,179057496.21847162,float32,high,0.05374956130981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,131072,compile,published,1,3,334713460.8415268,float32,high,0.07523393630981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,262144,compile,published,1,3,417320428.01782674,float32,high,0.11917924880981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,524288,compile,published,1,3,453239391.86840653,float32,high,0.20706987380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,1048576,compile,published,1,3,475176299.6824628,float32,high,0.38285112380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,2097152,compile,published,1,3,488543546.65060174,float32,high,0.7344136238098145,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,4194304,compile,published,1,3,496525581.98557705,float32,high,1.4375386238098145,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,16384,compile,matched,10,50,52308841.49770549,float32,high,0.03678178787231445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,24064,compile,matched,10,50,77184887.07753375,float32,high,0.04003572463989258,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,32768,compile,matched,10,50,105522623.09863584,float32,high,0.04227495193481445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,65536,compile,matched,10,50,206788892.31867903,float32,high,0.05374956130981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,131072,compile,matched,10,50,408472594.1214925,float32,high,0.07523393630981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,262144,compile,matched,10,50,452090637.33686584,float32,high,0.11917924880981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,524288,compile,matched,10,50,475586435.2469812,float32,high,0.20706987380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,1048576,compile,matched,10,50,486679881.9296551,float32,high,0.38285112380981445,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,2097152,compile,matched,10,50,494615414.77222794,float32,high,0.7344136238098145,NVIDIA H200,2.8.0+cu128,ac78eb4
ft,4194304,compile,matched,10,50,499715575.43573827,float32,high,1.4375386238098145,NVIDIA H200,2.8.0+cu128,ac78eb4
