backend,n,total_ms,std_ms,min_ms,far_ms,near_ms,updates_per_sec,peak_vram_gb,mac,theta,pdeg,order,max_leaf,gpu,git_sha
widebvh,50000,23.419263006265584,0.329226874707381,23.13246700214222,10.994720458984375,12.42454254728121,2134994.597678971,1.0056405067443848,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
widebvh,100000,35.35928733375234,0.10606177746807678,35.27683700667694,12.346176147460938,23.013111186291404,2828111.2980618426,1.9428653717041016,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
widebvh,200000,60.78629800079701,0.3206796130516844,60.597520001465455,17.145631790161133,43.64066621063588,3290215.1731197326,2.205411434173584,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
widebvh,500000,137.3166000121273,0.11291228863066026,137.18683901242912,29.078144073486328,108.23845593864098,3641220.3619652814,2.299717903137207,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
widebvh,750000,201.98512700153515,0.5231500116428754,201.54302200535312,39.03567886352539,162.94944813800976,3713144.681164073,2.384995937347412,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
widebvh,1000000,269.04257999073405,0.3394418334574082,268.727388989646,50.324161529541016,218.71841846119304,3716883.7736927755,2.465024471282959,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
widebvh,1250000,338.867904007202,0.33248176090494114,338.49240001291037,64.32342529296875,274.54447871423326,3688753.0073471745,2.609773635864258,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
widebvh,1500000,406.6310556760679,0.2735137129890865,406.3944189983886,78.81881713867188,327.812238537396,3688847.615207571,3.1291308403015137,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
widebvh,1750000,476.3761769863777,0.14487877599225168,476.21492299367674,88.70870208740234,387.66747489897534,3673567.412776064,3.6496291160583496,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
widebvh,2000000,542.6315573470978,0.09345727105539241,542.5613250117749,101.22412872314453,441.40742862395325,3685742.144776676,4.171043872833252,0.8,nan,7,0,1024,NVIDIA GeForce RTX 5090,ac78eb4-dirty
