x,y,z,q_x,q_y,q_z,q_w,f_x,f_y,f_z,t_x,t_y,t_z,v_x,v_y,v_z,w_x,w_y,w_z
0,0,0,0,0,0,1,0,0,18.84955592153876,0,0,0,0.07431123228227457,0.1916423626076862,3.168356786112523,-0.06402876501926436,0.1209020508886491,-8.201342105770924e-05
-0.9157209887155976,0.9210283246095874,2.704285838459497,0,0,0,1,0,0,18.84955592153876,0,0,0,-0.0006780974233135577,0.2962818921589413,3.015150110225376,0.008858777211674648,0.02899225076649803,0.005458339165391334
-0.332024032051606,-2.922217337569905,0.5919509051822195,0,0,0,1,0,0,18.84955592153876,0,0,0,0.1829721983417599,-0.008021944779641313,2.886729696170214,0.1699858949940201,0.08862742671193659,0.007001187613138454
-2.028587345181472,-2.321425795145654,-1.808199599909763,0,0,0,1,0,0,18.84955592153876,0,0,0,0.1731692615368609,0.1433261020527543,3.238171638996277,0.08376182146803954,-0.009293612115866497,0.01346658094207115
-2.835987345900989,-3.445863654199601,-4.469730125747162,0,0,0,1,0,0,18.84955592153876,0,0,0,0.1767256709305655,0.2665172366892781,2.985954028286319,0.1287756813774056,0.01489910443010236,0.005693595522779327
-0.6535083352033499,0.2100736217860803,-2.920410233040801,0,0,0,1,0,0,18.84955592153876,0,0,0,0.01311877408818653,0.007491152131815326,3.042070804841293,-0.1184657982573707,0.06733196758066064,-0.001801658287257614
-4.662741448343283,-2.724624445533552,-6.73750071667849,0,0,0,1,0,0,18.84955592153876,0,0,0,0.2770313657060174,0.1349039119630445,2.682619191423957,0.003033665299538515,-0.09069250146273528,0.005387192702442494
-1.072153571335692,3.753808425901584,3.679419544583389,0,0,0,1,0,0,18.84955592153876,0,0,0,0.005588466195971919,0.3060863961051776,2.50262344289927,-0.1793330604411372,0.06620126817770923,0.00533169553748076
-4.816915549911071,-1.410678412864319,-2.437298183898877,0,0,0,1,0,0,18.84955592153876,0,0,0,0.1195134147430809,0.1598936298833862,2.804720303892992,-0.03648153180752862,-0.1867904551270647,-0.005979844644128514
-3.780706493870268,2.470019239251471,3.804425104738331,0,0,0,1,0,0,18.84955592153876,0,0,0,-0.1305222797533046,0.2464671649427027,2.528613984901058,-0.04242341679350599,-0.1550873007471237,-0.002462187221772038
