N,phi,seed,op,wall_s,rmse,rel_rmse,mae,rel_mae,max_rel_rmse,prmse_lin,prmse_ang
200,0.15,123,M_mom_kinf_rc8,17.5555,0.00855623,21.0544,0.0189488,19.8308,91.6077,21.2081,20.067
200,0.15,124,M_mom_kinf_rc8,17.5752,0.00794077,20.8927,0.0179042,19.8741,54.2292,21.321,18.5236
200,0.15,125,M_mom_kinf_rc8,17.4709,0.00767708,24.5064,0.0171688,23.055,73.9121,25.9709,19.0517
200,0.15,123,M_nbody_b1,20.252,0.00562577,13.8434,0.0121308,12.6954,32.4325,14.4825,8.85863
200,0.15,124,M_nbody_b1,20.565,0.00522137,13.7378,0.0116114,12.8889,42.6352,14.5604,8.27613
200,0.15,125,M_nbody_b1,20.5844,0.00408994,13.0557,0.00928603,12.4696,35.0822,14.4294,7.00705
200,0.15,123,M_nbody_b1_retrained,20.3377,0.00552463,13.5945,0.011828,12.3785,33.74,14.2262,8.65763
200,0.15,124,M_nbody_b1_retrained,20.5694,0.00505776,13.3073,0.0112935,12.536,40.9145,14.0776,8.2544
200,0.15,125,M_nbody_b1_retrained,20.6071,0.00397236,12.6804,0.00905149,12.1547,35.4411,13.9534,7.1982
200,0.2,123,M_2b,17.534,0.0101069,15.6278,0.0224135,14.3023,33.2754,15.3978,19.3198
200,0.2,124,M_2b,17.6009,0.0107034,23.9775,0.0237942,22.5767,59.3011,24.5251,19.2907
200,0.2,125,M_2b,4.262,0.0107181,17.5452,0.023869,16.4115,80.6527,17.4105,19.5326
200,0.2,123,M_mom_k10_rc6,17.5025,0.00788567,12.1932,0.0172891,11.0323,26.8454,12.1952,12.1562
200,0.2,124,M_mom_k10_rc6,17.6979,0.00861082,19.2898,0.0188939,17.9271,49.4922,19.9662,13.0151
200,0.2,125,M_mom_k10_rc6,4.16369,0.00832171,13.6224,0.0185676,12.7664,49.5327,13.6788,12.7073
200,0.2,123,M_mom_kinf_rc6,17.5357,0.0077486,11.9812,0.0172265,10.9924,27.6461,11.8776,13.7211
200,0.2,124,M_mom_kinf_rc6,17.5237,0.00833089,18.6627,0.0183767,17.4364,47.9412,19.1842,14.0576
200,0.2,125,M_mom_kinf_rc6,4.08959,0.00802493,13.1366,0.0179908,12.3698,68.1909,13.1117,13.5198
200,0.2,123,M_mom_kinf_rc8,17.5399,0.0142698,22.0646,0.0318947,20.3523,60.0782,20.3982,42.0323
200,0.2,124,M_mom_kinf_rc8,18.0096,0.0142352,31.8895,0.0315308,29.9174,77.4309,30.9699,38.1872
200,0.2,125,M_mom_kinf_rc8,4.2648,0.0145695,23.85,0.0327043,22.4863,120.8,22.5576,38.82
200,0.2,123,M_nbody_b1,21.7756,0.00807223,12.4816,0.0177956,11.3555,27.7082,12.4948,12.2406
200,0.2,124,M_nbody_b1,21.5092,0.00872529,19.5463,0.0191382,18.159,43.1765,20.245,13.0298
200,0.2,125,M_nbody_b1,7.43422,0.00848771,13.8942,0.0188756,12.9782,50.5838,13.962,12.7862
200,0.2,123,M_nbody_b1_retrained,21.8855,0.00796816,12.3207,0.0175938,11.2268,27.6686,12.3122,12.4747
200,0.2,124,M_nbody_b1_retrained,21.5442,0.00847863,18.9937,0.018588,17.6369,41.0989,19.6225,13.2431
200,0.2,125,M_nbody_b1_retrained,7.55652,0.0082483,13.5023,0.0183857,12.6413,47.4182,13.5326,13.0178
