variant,num_particles,avg_rel_rmse,avg_max_rel_rmse,avg_rmse,avg_mae,avg_rel_mae,num_runs
sedimentation,50,2.6343176114413382,4.646663062762682,0.04763614167453254,0.1060091026761057,2.4043354892873205,3
sedimentation,100,2.9786328118085934,5.111816843499121,0.08234447897616501,0.18322549528933932,2.7187771920685253,3
sedimentation,150,3.2386166012911892,6.028064698823833,0.1154053543260032,0.25395170368007086,2.9252926544060447,3
sedimentation,200,3.2523120188365784,5.710644118961489,0.13886808140852755,0.3067460987202222,2.9477726712354246,3
smooth_random_scale0.2,50,8.33265156536069,19.51875179115181,0.003552484888351628,0.008117953036842821,8.09965823487363,3
smooth_random_scale0.2,100,8.73601129850836,18.43144861210925,0.00552209939286863,0.012379203270273411,8.304929016041354,3
smooth_random_scale0.2,150,9.693936443154822,22.00326113797762,0.007337558262453856,0.016442463004090396,9.149682810723883,3
smooth_random_scale0.2,200,10.561023570940307,38.56879876067748,0.008362759339731025,0.018558333464310392,10.016870283976244,3
smooth_random_scale0.5,50,8.876522184977356,17.786532095898455,0.004093518534275778,0.009361529407175313,8.537610393924291,3
smooth_random_scale0.5,100,8.790884191363128,19.171692655690318,0.006795679079590376,0.015341414820819648,8.31972095918151,3
smooth_random_scale0.5,150,10.799354607661774,22.137003968541276,0.010053346502035052,0.022695027087430476,10.304742003250245,3
smooth_random_scale0.5,200,10.564564372602087,30.48394227356388,0.008282826350239204,0.018645077315658665,10.22854944835361,3
totally_random,50,5.31109156723365,16.54406650985984,0.0018663552437525703,0.004210357820956253,5.050717077651959,3
totally_random,100,8.441529130542584,32.13890403322095,0.0023391822960137205,0.005241647955474737,8.206437312690424,3
totally_random,150,6.883062027467467,25.240698369343722,0.0026470033040906157,0.005895807384356342,6.490070765250535,3
totally_random,200,8.343472474833566,43.14791762037527,0.003104765113908251,0.006740595280872605,7.918607520139271,3
