force_field,num_particles,volume_fraction,avg_rmse,avg_rel_rmse,avg_mae,avg_rel_mae,avg_max_rel_rmse,num_runs
abc,40,0.15,0.004990239315187364,13.279483903942449,0.011275735567512504,13.184311629643883,50.33183167598601,5
abc,80,0.15,0.00548372952875347,11.738400938464867,0.01249107218201633,11.467712348532444,43.29472311939817,5
abc,120,0.15,0.00688025430657174,13.02381855473568,0.015347526087334955,12.53175034620771,133.81630702223225,5
abc,160,0.15,0.008473469219072102,19.278500058091872,0.018289041807846053,18.111499305640894,126.23691176013486,5
abc,200,0.15,0.008053072726701839,18.087755181780217,0.017680725359936856,17.26614328879773,100.46111759963503,5
abc,240,0.15,0.00745754030202703,14.61079545597853,0.01666473660767919,14.20268118389357,88.92517286359507,5
abc,280,0.15,0.0071618182654104605,12.135767616231954,0.016246344606675837,11.935568843850431,91.10039987990899,5
periodic,40,0.15,0.0013773819997941051,9.773675113343845,0.0031197432929433765,9.758809886809292,35.720837910685475,5
periodic,80,0.15,0.0015780826485641921,9.43572492104147,0.003554741674150775,9.372324990062408,65.99770407399251,5
periodic,120,0.15,0.0020116945840746897,11.952807666015643,0.004444260888587527,11.583683526382124,73.70040435891792,5
periodic,160,0.15,0.0020457250499051048,10.641823133305493,0.004495691852185368,10.24080801396207,59.29189288829176,5
periodic,200,0.15,0.002164750846248692,11.035359594611034,0.004809606752072985,10.744269717868235,51.82385457059547,5
periodic,240,0.15,0.002561664160499764,10.950835145308643,0.005549139901584988,10.349065469592938,58.46606835528314,5
periodic,280,0.15,0.0025238562120132643,13.833810132782087,0.005611161330052015,13.766456233710553,116.89328573983548,5
random,40,0.15,0.002624212971119079,7.8403170230555075,0.006022806868363692,7.527618343434446,17.532018310434886,5
random,80,0.15,0.004098476774929476,11.511406103867955,0.00912866377562262,10.790077550867036,29.34133512520166,5
random,120,0.15,0.004030539037607724,9.579493924320966,0.008935302213367092,8.918528389861127,23.339898944395078,5
random,160,0.15,0.0041869734860450186,12.2181053617919,0.00941288522431939,11.551527201560603,35.84737589384791,5
random,200,0.15,0.005246193792724212,12.79636292161302,0.011520190939371714,11.886288545015805,32.67391983891714,5
random,240,0.15,0.005033705926083765,13.62180170093568,0.01110026484505822,12.719655091646127,39.72771920807561,5
random,280,0.15,0.005192230300299791,11.442536755936597,0.011470148075968195,10.681451136984284,32.46237995647544,5
sedimentation,40,0.15,0.0632286136003551,3.639878285066554,0.1438671612281579,3.392874921497216,6.773410214363707,5
sedimentation,80,0.15,0.11828404595946232,4.425346588152644,0.262858430340164,4.029874260017791,8.40594619145876,5
sedimentation,120,0.15,0.1563747788968719,4.581507470257681,0.346922610448467,4.16635132674797,8.208856579483907,5
sedimentation,160,0.15,0.1969509029345726,4.794195560781025,0.4362255354195101,4.353164602664556,8.321479818853572,5
sedimentation,200,0.15,0.23667375990652512,4.984576125041771,0.5213926730886509,4.5036032656711855,8.94889134001378,5
sedimentation,240,0.15,0.2612672147797762,4.917014802695102,0.5767244801782387,4.451299224717586,8.665549717079431,5
sedimentation,280,0.15,0.2994755546741635,5.087489702970034,0.6616293144882565,4.609438471994492,8.899630879113364,5
