acc,backend,P,R,n_sys,kernel_ms,kernel_tflops,gemm_ms,matvec_ms,iters,n_matvec,converged,max_rel_dv,symm_err,s_per_config,configs_per_hour,peak_mem_gib,gpu
fine,triton32,8,48,1,0.95169,2.4269,2.3712,3.3229,14,16,True,6.3131e-06,8.5397e-05,0.21036,17114,0.03969,NVIDIA GeForce RTX 4060 Laptop GPU
fine,triton32,16,96,1,3.6687,5.3962,6.6748,10.343,16,18,True,5.6594e-06,0.00013252,0.22289,16151,0.12755,NVIDIA GeForce RTX 4060 Laptop GPU
fine,triton32,32,192,1,35.043,4.6701,30.817,65.86,16,18,True,5.1257e-06,0.00013936,1.3902,2589.5,0.48608,NVIDIA GeForce RTX 4060 Laptop GPU
fine,torch64,8,48,1,29.33,0.078747,1.6625,30.992,16,18,True,1.3853e-06,8.452e-05,0.57556,6254.8,0.20725,NVIDIA GeForce RTX 4060 Laptop GPU
fine,torch64,16,96,1,153.06,0.12934,6.9216,159.98,18,20,True,1.4625e-06,0.00013197,6.8603,524.76,0.51971,NVIDIA GeForce RTX 4060 Laptop GPU
fine,torch64,32,192,1,1779.6,0.091964,25.945,1805.5,18,20,True,1.2143e-06,0.00013877,35.372,101.78,1.4713,NVIDIA GeForce RTX 4060 Laptop GPU
