volume_fraction,num_particles,avg_num_nearfield_particles,avg_rel_rmse,avg_max_rel_rmse,avg_rmse,avg_mae,avg_rel_mae
0.05,,14.1,0.27731,0.27731,6.8e-05,0.000167,0.27731
0.075,,22.5,1.702871,1.702871,0.000315,0.000771,1.702871
0.1,,28.3,0.77838,0.77838,0.000211,0.000517,0.77838
0.125,,34.8,1.230495,1.230495,0.00032,0.000783,1.230495
0.15,,43.0,1.961376,1.961376,0.000544,0.001332,1.961376
0.2,,56.5,2.349519,2.349519,0.000535,0.001311,2.349519
