N,phi,seed,forcing,rung,truth_gap,n_near,sd_check,acc,prmse_lin,prmse_fluct,err_mean_pct,prmse_ang,rel_rmse,max_rel_lin
200,0.2,8423,gravity,rpy,4.313117117854203e-06,6411,8.689086662305792e-15,fine,7.752074997727123,49.86462308313626,6.037919917131702,49.01305986263916,7.885657080269157,13.444739215061832
200,0.2,8423,gravity,2b,4.313117117854203e-06,6411,8.689086662305792e-15,fine,6.996112765616616,48.0738370857563,5.1872373193601495,47.94702639800047,7.138086034872288,12.133017902122866
200,0.2,8423,gravity,near_nn,4.313117117854203e-06,6411,8.689086662305792e-15,fine,3.22195038885551,31.1096802776516,1.026418955798872,27.26806474814638,3.321874794413265,6.684684951460676
200,0.2,8423,gravity,stack_nn,4.313117117854203e-06,6411,8.689086662305792e-15,fine,3.2701060610013046,31.33504477845695,1.1100051712684804,27.57185703011079,3.3707656613664443,6.85425958666011
200,0.2,8423,gravity,near_ex,4.313117117854203e-06,6411,8.689086662305792e-15,fine,2.3320460078266705,18.54311671076149,1.463425278195758,12.457290767431386,2.3605067211915536,4.656771087721691
200,0.2,8423,gravity,diag_ex,4.313117117854203e-06,6411,8.689086662305792e-15,fine,2.2963287438630022,18.419341986901923,1.421006905102011,12.501218887327983,2.3254686328292227,4.748868179764711
200,0.2,8423,gravity,far_ex,4.313117117854203e-06,6411,8.689086662305792e-15,fine,0.0001947440354982,0.0019786272990185,1.2432566965246226e-05,0.0125259380620251,0.0004216927386459,0.0006142220475661
200,0.2,8423,gravity,rpy+ref1,4.313117117854203e-06,6411,8.689086662305792e-15,fine,0.556543817547205,5.558179098648706,0.1085872802610484,8.653436464314748,0.6133918969398627,1.2257758399619048
200,0.2,8423,gravity,rpy+ref2,4.313117117854203e-06,6411,8.689086662305792e-15,fine,1.217877481046494,8.882305408100924,0.853853543288456,8.102834271345753,1.2411523483333766,2.4027021475789807
200,0.2,8423,gravity,rpy+full,4.313117117854203e-06,6411,8.689086662305792e-15,fine,0.7931643047985338,6.06648824950085,0.5260280947835981,5.341024174350437,0.8086967582050651,1.565603128908304
200,0.2,8423,gravity,sd_minf,4.313117117854203e-06,6411,8.689086662305792e-15,fine,0.7931643047984459,6.066488249500872,0.5260280947834615,5.341024174350282,0.808696758204978,1.5656031289071306
200,0.2,8423,gravity,stack+ref1,4.313117117854203e-06,6411,8.689086662305792e-15,fine,5.315221638679092,22.794618135586056,4.844052934284968,26.852063498988844,5.373029975249742,9.141592691096289
200,0.2,8423,gravity,stack+ref2,4.313117117854203e-06,6411,8.689086662305792e-15,fine,4.370536216435438,16.603766202325236,4.074544758048421,17.046630998036857,4.398149225041788,7.31844824676944
200,0.2,8423,gravity,stack+full,4.313117117854203e-06,6411,8.689086662305792e-15,fine,4.760068505297188,18.945170083825992,4.402538880023719,20.02911489875694,4.7953968271274166,7.968429494500652
200,0.2,8423,gravity,stack+ref1_uncov,4.313117117854203e-06,6411,8.689086662305792e-15,fine,1.0511054557495596,10.23264339484768,0.3090565254975624,14.718690871557715,1.1388817063707233,2.7945880009754265
200,0.2,8423,gravity,pnear+ref1_far,4.313117117854203e-06,6411,8.689086662305792e-15,fine,0.5192045714026534,4.852599850791647,0.2068680514669252,4.537587555963927,0.5363732505430665,1.3441615601547772
200,0.2,8423,gravity,pnear+full_far,4.313117117854203e-06,6411,8.689086662305792e-15,fine,0.398383718604641,2.6714907990471586,0.3012099674803542,2.2842800777159384,0.4040071166382082,1.1068361649922946
200,0.2,8423,random,rpy,0.000833036845953,6411,5.814798627953803e-14,fine,30.132270209745844,45.07821256917503,3.997532785866197,22.66694635644269,28.827277661495703,157.4551394959205
200,0.2,8423,random,2b,0.000833036845953,6411,5.814798627953803e-14,fine,25.196949457591945,37.66762564436459,3.5785855569338034,16.97399103218097,23.81587302743081,117.01923166882106
200,0.2,8423,random,near_nn,0.000833036845953,6411,5.814798627953803e-14,fine,10.840968559113533,16.198267726758655,1.6066961707838248,6.482809525453705,10.13848266642476,56.24871625443292
200,0.2,8423,random,stack_nn,0.000833036845953,6411,5.814798627953803e-14,fine,10.608445548949923,15.851300177948458,1.5685366116209774,5.941519718691361,9.872291950373327,60.33176881103549
200,0.2,8423,random,near_ex,0.000833036845953,6411,5.814798627953803e-14,fine,9.639481174046804,14.277870643658083,2.2112504794161527,3.756739538526715,8.805472544084083,44.28020584661375
200,0.2,8423,random,diag_ex,0.000833036845953,6411,5.814798627953803e-14,fine,9.405710793826731,13.915147822806512,2.240350434568601,2.1305644578968006,8.490253068316218,48.43207744736872
200,0.2,8423,random,far_ex,0.000833036845953,6411,5.814798627953803e-14,fine,0.0055209396316921,0.0082775859802903,0.0005455866575847,0.0128704807724477,0.0075409577905429,0.0364684567611691
200,0.2,8423,random,rpy+ref1,0.000833036845953,6411,5.814798627953803e-14,fine,7.3060887464856545,10.938130269823086,0.8934413298860365,8.470844471192988,7.547584566496054,40.30434481398261
