case,n,loading,backend,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms
drop3k,3071,random,widebvh,3,1024,0.7,,0.008138795146619691,0.0071165616515001225,4.993318735311429,21881.0,0.4208959937095642,0.01865600049495697,3.905563,0.167109
drop3k,3071,random,widebvh,3,1024,0.8,,0.013262445232111699,0.011596680767074857,4.990341762701671,21871.0,0.4158399999141693,0.0197759997099638,3.891484,0.16852
drop3k,3071,random,widebvh,3,1024,0.9,,0.01684578300294279,0.014729950950789938,4.992578644305468,21871.0,0.42467200756073,0.018912000581622124,3.8888629999999997,0.166859
drop3k,3071,random,widebvh,5,1024,0.4,,2.7257044414818235e-05,2.3833556874360678e-05,5.839591224988301,22058.0,1.0023679733276367,0.019168000668287277,3.913863,0.321548
drop3k,3071,random,widebvh,5,1024,0.5,,0.0001155291175492627,0.0001010186486785095,5.537416320294142,21967.0,0.7013760209083557,0.018783999606966972,3.8943130000000004,0.325049
drop3k,3071,random,widebvh,5,1024,0.6,,0.0003715497671095143,0.00032488307871142034,5.362420342862606,21912.0,0.5256320238113403,0.018880000337958336,3.906913,0.323489
drop3k,3071,random,widebvh,5,1024,0.7,,0.0010037490239092144,0.0008776780447963257,5.25764732932051,21881.0,0.42931199073791504,0.018751999363303185,3.900693,0.321278
drop3k,3071,random,widebvh,5,1024,0.8,,0.0023571323726900273,0.00206107630783193,5.22893729309241,21871.0,0.39606401324272156,0.018912000581622124,3.9190229999999997,0.322858
drop3k,3071,random,widebvh,5,1024,0.9,,0.0038526077847517715,0.003368719856602191,5.7679652236402035,21871.0,0.3938559889793396,0.018783999606966972,5.423687,0.331018
drop3k,3071,random,widebvh,7,1024,0.4,,1.0343898409781803e-06,9.044703721365954e-07,6.754050962626934,22058.0,1.6946560144424438,0.019487999379634857,3.895473,0.544748
drop3k,3071,random,widebvh,7,1024,0.5,,6.898588456565784e-06,6.032125047387134e-06,6.204883723209302,21967.0,1.1281919479370117,0.019200000911951065,3.922003,0.539268
drop3k,3071,random,widebvh,7,1024,0.6,,3.3406671181554425e-05,2.9210789896053104e-05,5.872358102351427,21912.0,0.8130239844322205,0.018848000094294548,3.890593,0.541168
drop3k,3071,random,widebvh,7,1024,0.7,,0.00012923125472073292,0.00011299979603280546,5.714945339908202,21881.0,0.6415039896965027,0.0191040001809597,3.919593,0.537387
drop3k,3071,random,widebvh,7,1024,0.8,,0.0004077192578391884,0.0003565096777403928,5.630179308354855,21871.0,0.5757439732551575,0.018880000337958336,3.9151930000000004,0.536428
drop3k,3071,random,widebvh,7,1024,0.9,,0.0007685192233756273,0.0006719931310455935,5.611369386315346,21871.0,0.5660799741744995,0.01929599978029728,3.9051030000000004,0.533908
drop3k,3071,gravity,warpfmm,,16,,0.3,0.0017842789333861505,0.0017650503204221636,3.7025573352972665,0,0,0,0,0
drop3k,3071,gravity,warpfmm,,16,,0.28,0.0014444826891680778,0.00142891595347251,4.065222417314847,0,0,0,0,0
drop3k,3071,gravity,warpfmm,,16,,0.2,0.0005619502108990456,0.0005558942501923291,4.638393254329761,0,0,0,0,0
drop3k,3071,random,warpfmm,,16,,0.3,0.011104978404565327,0.009710191991684429,3.692920785397291,0,0,0,0,0
drop3k,3071,random,warpfmm,,16,,0.28,0.009240595908923182,0.008079976126412822,4.056985955685377,0,0,0,0,0
drop3k,3071,random,warpfmm,,16,,0.2,0.0035775931794075925,0.003128247113556472,4.608113629122575,0,0,0,0,0
uniform100k,100000,gravity,widebvh,3,1024,0.4,,2.0886272773806675e-05,2.0868914122372115e-05,20.141713321208954,3280125.0,10.6810884475708,2.339168071746826,5.551276,0.371978
uniform100k,100000,gravity,widebvh,3,1024,0.5,,6.67574660373499e-05,6.670198368316701e-05,15.460900341471037,1777544.0,6.992000102996826,1.2318079471588135,5.552667,0.373809
uniform100k,100000,gravity,widebvh,3,1024,0.6,,0.00019339991415865337,0.0001932391788405949,12.649175710976124,1062857.0,4.840223789215088,0.7405120134353638,5.557125,0.362719
uniform100k,100000,gravity,widebvh,3,1024,0.7,,0.00048529668002876493,0.0004848933483284563,11.102945699046055,726686.0,3.542720079421997,0.5128960013389587,5.537166,0.369228
uniform100k,100000,gravity,widebvh,3,1024,0.8,,0.0009840334094600033,0.0009832155759891986,10.585257938752571,708498.0,2.6609280109405518,0.5036799907684326,5.5450859999999995,0.370609
uniform100k,100000,gravity,widebvh,3,1024,0.9,,0.0018057645935371468,0.0018042638165200338,9.882987632105747,707395.0,2.309312105178833,0.502784013748169,5.539796,0.367299
uniform100k,100000,gravity,widebvh,5,1024,0.4,,8.131922455895397e-08,8.125163987836806e-08,26.08795464038849,3280125.0,16.094335556030273,2.3765759468078613,6.092684,0.665227
uniform100k,100000,gravity,widebvh,5,1024,0.5,,3.964217457352598e-07,3.960922782912681e-07,19.064118309567373,1777544.0,10.448991775512695,1.248479962348938,5.541486,0.653127
uniform100k,100000,gravity,widebvh,5,1024,0.6,,1.4326388718845867e-06,1.4314482009076264e-06,15.432397369295359,1062857.0,7.1833600997924805,0.7466239929199219,5.694376,0.672187
uniform100k,100000,gravity,widebvh,5,1024,0.7,,4.834447102476416e-06,4.830429177256367e-06,13.077130696425835,726686.0,5.184192180633545,0.5192639827728271,5.559106,0.649208
uniform100k,100000,gravity,widebvh,5,1024,0.8,,1.6125166590450153e-05,1.6111764910351498e-05,11.707229694972435,708498.0,3.8656320571899414,0.5006399750709534,5.546936,0.644578
uniform100k,100000,gravity,widebvh,5,1024,0.9,,5.0311861077827707e-05,5.027004672114798e-05,11.193522096922,707395.0,3.3670079708099365,0.5006719827651978,5.525536,0.653697
uniform100k,100000,gravity,widebvh,7,1024,0.4,,2.2131281373575922e-08,2.2112887991313583e-08,37.405259596804775,3280125.0,26.987424850463867,2.394495964050293,5.573075,1.199695
uniform100k,100000,gravity,widebvh,7,1024,0.5,,2.5184810258719417e-08,2.5163879078347448e-08,27.01119069630901,1777544.0,17.30121612548828,1.2694079875946045,5.561436,1.201645
uniform100k,100000,gravity,widebvh,7,1024,0.6,,5.8831939566947935e-08,5.8783044144427044e-08,20.61153498167793,1062857.0,11.830816268920898,0.7545920014381409,5.537906,1.199534
