backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha
widebvh,1047968,37,0.37,103.808,2.295,26.3,142.23,171.091,275.512,19753288,275.568,222.105,155163824.0,NVIDIA H200,ac78eb4
widebvh,1047968,38,0.38,103.315,2.296,26.393,142.745,171.697,275.602,19821528,275.656,221.623,157290224.0,NVIDIA H200,ac78eb4
widebvh,1047968,39,0.39,103.401,2.299,26.444,143.058,172.066,276.051,19885988,276.106,221.169,159531072.0,NVIDIA H200,ac78eb4
widebvh,1047968,40,0.4,104.564,2.32,26.549,143.737,172.969,278.318,19943160,278.388,220.747,161920464.0,NVIDIA H200,ac78eb4
widebvh,1047968,41,0.41,103.856,2.652,26.69,143.796,173.445,277.938,19996806,277.998,220.358,164424944.0,NVIDIA H200,ac78eb4
widebvh,1047968,42,0.42,103.979,2.382,26.685,144.169,173.496,278.082,20047452,278.138,220.005,167120432.0,NVIDIA H200,ac78eb4
widebvh,1047968,43,0.43,106.21,2.313,26.765,144.466,173.809,280.62,20089500,280.675,219.691,169850112.0,NVIDIA H200,ac78eb4
widebvh,1047968,44,0.44,105.456,2.346,26.792,144.696,174.103,280.169,20126184,280.224,219.419,172649888.0,NVIDIA H200,ac78eb4
widebvh,1047968,45,0.45,105.578,2.356,26.857,145.175,174.707,280.951,20161618,281.029,219.191,175643296.0,NVIDIA H200,ac78eb4
widebvh,1047968,46,0.46,104.79,2.496,27.002,145.064,174.855,280.28,20189120,280.343,219.01,178673504.0,NVIDIA H200,ac78eb4
widebvh,1047968,47,0.47,103.956,2.363,26.884,145.244,174.756,279.32,20207630,279.377,218.879,181822512.0,NVIDIA H200,ac78eb4
widebvh,1047968,48,0.48,104.357,2.346,26.858,145.38,174.85,279.797,20218380,279.852,218.8,184972080.0,NVIDIA H200,ac78eb4
widebvh,1047968,49,0.49,103.845,2.345,26.917,145.274,174.804,279.235,20220892,279.291,218.775,188053920.0,NVIDIA H200,ac78eb4
widebvh,1047968,50,0.5,104.418,2.35,26.986,145.376,174.982,279.987,20222608,280.044,218.808,191057328.0,NVIDIA H200,ac78eb4
widebvh,1047968,51,0.51,103.435,2.406,26.92,145.287,174.89,278.934,20220054,278.999,218.9,193971264.0,NVIDIA H200,ac78eb4
widebvh,1047968,52,0.52,102.827,2.419,26.897,145.197,174.777,278.212,20214326,278.27,219.053,197400112.0,NVIDIA H200,ac78eb4
widebvh,1047968,53,0.53,101.931,2.362,26.903,145.205,174.738,277.281,20200942,277.337,219.271,200941408.0,NVIDIA H200,ac78eb4
widebvh,1047968,54,0.54,103.046,2.479,26.851,144.887,174.476,278.124,20184134,278.181,219.554,204375920.0,NVIDIA H200,ac78eb4
widebvh,1047968,55,0.55,105.024,2.425,26.855,144.822,174.367,280.001,20165402,280.058,219.905,207692128.0,NVIDIA H200,ac78eb4
