backend,n,total_ms,std_ms,min_ms,far_ms,near_ms,updates_per_sec,peak_vram_gb,mac,theta,pdeg,order,max_leaf,gpu,git_sha
widebvh,50000,21.439809332756948,0.01229610222317762,21.426022984087467,10.925248146057129,10.514561186699819,2332110.2918395447,1.0371613502502441,0.8,nan,7,0,1024,NVIDIA H200,2dbd6a7
widebvh,100000,33.38012198219076,0.029596592518493985,33.35070499451831,14.926015853881836,18.454106128308922,2995794.9240974267,1.9747977256774902,0.8,nan,7,0,1024,NVIDIA H200,2dbd6a7
widebvh,200000,57.13275036153694,0.10230429849584863,57.0257410290651,22.564800262451172,34.56795009908577,3500619.149864077,2.055687427520752,0.8,nan,7,0,1024,NVIDIA H200,2dbd6a7
widebvh,500000,130.22290468992045,0.23599465399477246,129.95423201937228,47.015262603759766,83.20764208616069,3839570.3212931105,2.1646833419799805,0.8,nan,7,0,1024,NVIDIA H200,2dbd6a7
widebvh,750000,192.34469298195714,0.11203789080973639,192.2485859831795,68.2448959350586,124.09979704689854,3899249.770672662,2.2570152282714844,0.8,nan,7,0,1024,NVIDIA H200,2dbd6a7
