run,seed,x,y,force_x,force_y,error_base_x,error_base_y,error_full_x,error_full_y,parallel_error_base,parallel_error_full,parallel_error_gap,rmse_base,rmse_full
0,42,0.0,0.0,0.0,-1.0,-0.0027521921792343544,-0.0019266857889071315,-0.004160549119608133,-0.003288320371188244,0.0019266857889071315,0.003288320371188244,-0.0013616345822811127,0.002375571501830185,0.00374988132080494
0,42,5.821277564366515,-1.2987687961113608,0.0,-1.0,0.003469594151988161,-0.0632511368573806,0.0028362351966048603,-0.050319074708332745,0.0632511368573806,0.050319074708332745,0.012932062149047852,0.04479254624003083,0.03563743473928246
0,42,4.193862794935923,-8.623304038387584,0.0,-1.0,0.007151884519587898,-0.024438669047352785,0.00831975557757511,-0.020828385910984987,0.024438669047352785,0.020828385910984987,0.003610283136367798,0.01800552688742487,0.015859381963486314
0,42,5.548943695073273,6.078565270058817,0.0,-1.0,0.0005643650381255139,-0.03868850210113367,0.0009543582288908947,-0.03189992049140772,0.03868850210113367,0.03189992049140772,0.006788581609725952,0.02735981270701321,0.02256674242095196
0,42,-1.054246577609776,-2.7454059392780996,0.0,1.0,-0.006631765133230466,0.018326048831180303,-0.00481898671993472,0.01578529653950092,0.018326048831180303,0.01578529653950092,0.0025407522916793823,0.013780863081555092,0.011670437434965472
0,42,3.0569823160863283,6.858344423771349,0.0,-1.0,0.006098522639594053,-0.0509634924522579,0.0064487744334554425,-0.04418909674798849,0.0509634924522579,0.04418909674798849,0.006774395704269409,0.03629372908173662,0.031577388770263094
0,42,-5.795889952682883,1.1598692479538144,0.0,1.0,-0.0040936613697056656,0.04595533821646153,-0.0027292691412811165,0.04172501776281773,0.04595533821646153,0.04172501776281773,0.004230320453643799,0.03262400323380923,0.029567093341694953
0,42,6.961817419110272,2.7977298427068824,0.0,-1.0,-0.005212535792545034,-0.06913289606151063,-0.006220370241955472,-0.06227961360988099,0.06913289606151063,0.06227961360988099,0.006853282451629639,0.04902309581840071,0.04425744726790667
0,42,-3.0911699974769666,10.001837387583567,0.0,1.0,0.0014101012837429983,0.017113808293688804,-4.249371175565897e-05,0.010990444321978599,0.017113808293688804,0.010990444321978599,0.006123363971710205,0.012142298380939774,0.007771475796463963
0,42,5.915356183400121,-6.488605921924686,0.0,-1.0,0.00025031237817238483,-0.056352201083265774,0.001182543923620688,-0.048943522551619045,0.056352201083265774,0.048943522551619045,0.0074086785316467285,0.03984741662401395,0.03461839691473404
0,42,-9.693689616160478,-7.345984270837629,0.0,1.0,0.034645292215280704,0.023403965069656807,0.034144791081779174,0.01754184825599714,0.023403965069656807,0.01754184825599714,0.005862116813659668,0.029563844926395362,0.02714390537721844
0,42,5.2009380858809315,9.934089540594009,0.0,-1.0,-0.01013226998581479,-0.023302818145868376,-0.010433064825673799,-0.01918416699421127,0.023302818145868376,0.01918416699421127,0.0041186511516571045,0.017967807721100196,0.01544152040633462
0,42,-2.7525948447406394,-0.6469069535775418,0.0,1.0,-0.018512520815134034,0.05636509583345217,-0.01697209651291369,0.04641326592317385,0.05636509583345217,0.04641326592317385,0.00995182991027832,0.04195078935636979,0.03494455117539005
0,42,-7.86377833013995,-0.5162447357197539,0.0,1.0,-0.007516785510787275,0.07891207374681863,-0.0068345470213978556,0.06669109500994119,0.07891207374681863,0.06669109500994119,0.012220978736877441,0.05605183961048256,0.047404710665780364
0,42,3.6083685779940584,-1.3354555468310867,0.0,-1.0,0.0022859193812050337,-0.04402427501198164,0.00197481852573533,-0.03145437068458906,0.04402427501198164,0.03145437068458906,0.012569904327392578,0.031171799897888153,0.022285391441178717
0,42,4.255422544441895,-3.9870112983701276,0.0,-1.0,-0.007817371739096093,-0.04980224630042379,-0.007608982725090432,-0.03853258749648397,0.04980224630042379,0.03853258749648397,0.01126965880393982,0.035646704177772826,0.02777280069856943
0,42,6.4759216891402005,-2.390965963739223,0.0,-1.0,0.010904040774715618,-0.0637395873273695,0.01108913834245272,-0.05866052653444653,0.0637395873273695,0.05866052653444653,0.005079060792922974,0.04572544749852113,0.04221389796309126
0,42,3.877837297212544,-7.65488039354419,0.0,-1.0,-0.0028677958723214853,-0.03779825610738291,-0.003112249421706556,-0.033010349103026526,0.03779825610738291,0.033010349103026526,0.004787907004356384,0.026804219984217163,0.023445353957304602
0,42,-10.468033035135157,6.096840899213902,0.0,1.0,-0.023502426873688188,0.03376986063652948,-0.02404216416159698,0.031990602385339295,0.03376986063652948,0.031990602385339295,0.0017792582511901855,0.02909267567931561,0.028296857586577122
0,42,1.4606780315951244,-7.653934506901746,0.0,-1.0,-0.006903772447083706,-0.01184417781554227,-0.006300379726861233,-0.006934573027715732,0.01184417781554227,0.006934573027715732,0.004909604787826538,0.00969398324032221,0.006625069349801803
